"","Phy","Valid","abs_lat_native","total.area.introduced","Stratum","Phy_all_underscore","total.area.native","LogArea.native","Name","EFN","Domatia","Seed_Dispersal"
"2682","Strumigenys_onorei","Strumigenys.onorei",1.78584942,0,NA,"Strumigenys_onorei",247987.0565,5.394429014,"Strumigenys onorei",0,0,0
"2683","Strumigenys_pallestes","Strumigenys.pallestes",9.08200058,0,NA,"Strumigenys_pallestes",1147292.461,6.05967414,"Strumigenys pallestes",0,0,0
"2684","Strumigenys_pariensis","Strumigenys.pariensis",0.44294942,0,NA,"Strumigenys_pariensis",2834522.851,6.452479963,"Strumigenys pariensis",0,0,0
"2685","Strumigenys_pergandei","Strumigenys.pergandei",43.52350058,0,NA,"Strumigenys_pergandei",3430596.206,6.535369603,"Strumigenys pergandei",0,0,0
"2686","Strumigenys_perplexa","Strumigenys.perplexa",32.01459942,268730.1244,"Arboreal & Epigaeic & Hypogaeic","Strumigenys_perplexa",4855001.732,6.686189389,"Strumigenys perplexa",0,0,0
"2687","Strumigenys_phytibia","Strumigenys.phytibia",12.80925058,0,NA,"Strumigenys_phytibia",296864.0057,5.472557543,"Strumigenys phytibia",0,0,0
"2688","Strumigenys_pilosa","Strumigenys.pilosa",25.51040058,0,NA,"Strumigenys_pilosa",447631.4245,5.650920567,"Strumigenys pilosa",0,0,0
"2689","Strumigenys_planeti","Strumigenys.planeti",2.07624942,0,NA,"Strumigenys_planeti",7008569.982,6.845629414,"Strumigenys planeti",0,0,0
"2690","Strumigenys_precava","Strumigenys.precava",1.84584942,0,NA,"Strumigenys_precava",8254206.919,6.916675352,"Strumigenys precava",0,0,0
"2691","Strumigenys_rogeri","Strumigenys.rogeri",2.07354942,6875076.053,"Arboreal & Epigaeic & Hypogaeic","Strumigenys_rogeri",7192467.735,6.856877922,"Strumigenys rogeri",0,0,0
"2692","Strumigenys_rotogenys","Strumigenys.rotogenys",7.67190058,0,NA,"Strumigenys_rotogenys",1383424.039,6.140955318,"Strumigenys rotogenys",0,0,0
"2693","Strumigenys_royi","Strumigenys.royi",4.86035058,0,NA,"Strumigenys_royi",210319.4369,5.32287941,"Strumigenys royi",0,0,0
"2694","Strumigenys_rufobrunea","Strumigenys.rufobrunea",12.36879942,0,NA,"Strumigenys_rufobrunea",10520099.2,7.022019835,"Strumigenys rufobrunea",0,0,0
"2695","Strumigenys_saliens","Strumigenys.saliens",11.19889942,0,NA,"Strumigenys_saliens",3026837.115,6.480989051,"Strumigenys saliens",0,0,0
"2696","Strumigenys_silvestrii","Strumigenys.silvestrii",16.25674942,2521097.921,"Arboreal & Epigaeic & Hypogaeic","Strumigenys_silvestrii",2863707.652,6.45692868,"Strumigenys silvestrii",0,0,0
"2697","Strumigenys_solifontis","Strumigenys.solifontis",29.71245058,174298.1377,"Arboreal & Epigaeic & Hypogaeic","Strumigenys_solifontis",249863.8259,5.397703386,"Strumigenys solifontis",0,0,0
"2698","Strumigenys_spathula","Strumigenys.spathula",1.42139942,0,NA,"Strumigenys_spathula",4429539.114,6.646358541,"Strumigenys spathula",0,0,0
"2699","Strumigenys_subedentata","Strumigenys.subedentata",0.84444942,0,NA,"Strumigenys_subedentata",10931401.59,7.03867585,"Strumigenys subedentata",0,0,0
"2700","Strumigenys_tachirensis","Strumigenys.tachirensis",6.56885058,0,NA,"Strumigenys_tachirensis",912675.4032,5.960316346,"Strumigenys tachirensis",0,0,0
"2701","Strumigenys_tenuipilis","Strumigenys.tenuipilis",39.37765058,0,NA,"Strumigenys_tenuipilis",2884830.413,6.460120288,"Strumigenys tenuipilis",0,0,0
"2702","Strumigenys_trada","Strumigenys.trada",24.14150058,0,NA,"Strumigenys_trada",36261.8317,4.559449738,"Strumigenys trada",0,0,0
