Species,fixer,num_introduced,total_area_introduced,total_area_native,lat_native,abs_lat_native,annual,uses_num_uses
Acacia_eremaea,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_ericifolia,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_erinacea,1,0,0,3.51E+12,-26.80243548,26.80243548,0,0
Acacia_eriocarpa,0,0,0,1.93E+12,-16.15204272,16.15204272,0,0
Acacia_erubescens,1,0,0,1.06E+13,-18.58533779,18.58533779,0,0
Acacia_estrophiolata,1,0,0,4.86E+12,-24.83278022,24.83278022,0,1
Acacia_etbaica,1,0,0,6.05E+12,7.23235298,7.23235298,0,0
Acacia_excelsa,0,0,0,2.53E+12,-25.79163463,25.79163463,0,2
Acacia_extensa,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_exuvialis,1,0,0,3.06E+12,-22.24326179,22.24326179,0,0
Acacia_falcata,1,2,2.23E+12,2.66E+12,-16.5401345,16.5401345,0,1
Acacia_falciformis,1,2,2.68E+11,2.76E+12,-26.81043334,26.81043334,0,2
Acacia_farnesiana,1,48,3.76E+13,1.91E+13,10.47537246,10.47537246,0,9
Acacia_filicifolia,1,1,1.15E+11,2.53E+12,-25.79163463,25.79163463,0,1
Acacia_filifolia,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_fimbriata,1,4,5.61E+12,2.53E+12,-25.79163463,25.79163463,0,1
Acacia_fleckii,1,0,0,6.44E+12,-21.23507238,21.23507238,0,0
Acacia_flexifolia,1,0,0,2.76E+12,-26.80239184,26.80239184,0,0
Acacia_floribunda,1,4,2.30E+12,3.49E+12,-7.63227278,7.63227278,0,1
Acacia_fulva,1,0,0,8.02E+11,-32.17021086,32.17021086,0,0
Acacia_galpinii,1,0,0,6.24E+12,-20.01409488,20.01409488,0,0
Acacia_gaumeri,1,0,0,1.96E+12,23.95092283,23.95092283,0,0
Acacia_genistifolia,1,0,0,2.08E+12,-36.84389176,36.84389176,0,0
Acacia_georginae,1,1,7.94E+12,4.06E+12,-23.47957615,23.47957615,0,2
Acacia_gerrardii,1,0,0,1.50E+13,-16.42384857,16.42384857,0,0
Acacia_gittinsii,1,0,0,1.73E+12,-22.57378083,22.57378083,0,0
Acacia_gladiiformis,1,1,2.44E+11,8.02E+11,-32.17021086,32.17021086,0,1
Acacia_glaucocarpa,1,0,0,2.53E+12,-25.79163463,25.79163463,0,1
Acacia_glaucoptera,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_goetzei,1,0,0,8.26E+12,-1.7213765,1.7213765,0,0
Acacia_gonocarpa,1,0,0,3.88E+12,-23.4204532,23.4204532,0,0
Acacia_gourmaensis,1,0,0,2.82E+12,10.7475034,10.7475034,0,0
Acacia_grandicornuta,1,0,0,4.44E+12,-22.42811457,22.42811457,0,0
Acacia_granitica,1,0,0,2.53E+12,-25.79163463,25.79163463,0,0
Acacia_greggii,0,1,2.06E+12,2.28E+12,27.19501114,27.19501114,0,1
Acacia_gummifera,1,0,0,4.03E+11,31.88356133,31.88356133,0,0
Acacia_haematoxylon,1,0,0,4.05E+12,-23.84985133,23.84985133,0,0
Acacia_hakeoides,1,0,0,6.27E+12,-26.80241625,26.80241625,0,1
Acacia_harpophylla,1,0,0,2.53E+12,-25.79163463,25.79163463,0,0
Acacia_harveyi,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_hastulata,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_havilandiorum,1,0,0,2.01E+12,-31.74043124,31.74043124,0,1
Acacia_hebeclada,1,0,0,6.44E+12,-21.23507238,21.23507238,0,0
Acacia_hemsleyi,1,0,0,5.61E+12,-23.16077529,23.16077529,0,1
Acacia_hereroensis,1,0,0,4.44E+12,-23.50241383,23.50241383,0,0
Acacia_heterophylla,1,2,3.26E+12,2645044536,-21.12162946,21.12162946,0,1
Acacia_hilliana,1,0,0,3.88E+12,-23.4204532,23.4204532,0,0
Acacia_hippuroides,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_hockii,1,0,0,1.75E+13,11.67782942,11.67782942,0,0
Acacia_holosericea,1,3,2.18E+11,6.01E+12,-14.91476298,14.91476298,0,2
Acacia_horrida,1,1,2.78E+12,1.01E+13,20.16341163,20.16341163,0,0
Acacia_horridula,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_huegelii,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_implexa,1,1,1.15E+11,2.83E+12,-34.37660906,34.37660906,0,2
Acacia_intsia,1,0,0,2.42E+12,21.71720082,21.71720082,0,0
Acacia_irrorata,1,2,2.68E+11,2.76E+12,-26.80239184,26.80239184,0,1
Acacia_iteaphylla,1,0,0,4.54E+12,-28.33581319,28.33581319,0,1
Acacia_ixiophylla,1,0,0,2.53E+12,-25.79163463,25.79163463,0,1
Acacia_jacquemontii,1,0,0,6.57E+12,26.99567205,26.99567205,0,6
Acacia_jonesii,1,0,0,8.02E+11,-32.17021086,32.17021086,0,0
Acacia_julifera,1,0,0,1.73E+12,-22.57378083,22.57378083,0,0
Acacia_juncifolia,1,0,0,2.53E+12,-25.79163463,25.79163463,0,0
Acacia_karroo,1,10,8.22E+12,6.52E+12,-24.27751659,24.27751659,0,7
Acacia_kempeana,1,0,0,6.59E+12,-24.24846479,24.24846479,0,2
Acacia_kirkii,1,0,0,9.13E+12,3.778323,3.778323,0,0
Acacia_koa,1,2,85081230499,16858731371,20.26898313,20.26898313,0,0
Acacia_koaia,1,1,7.94E+12,NA,NA,NA,0,0
Acacia_kraussiana,1,0,0,4.05E+12,-20.70674879,20.70674879,0,0
Acacia_lachnophylla,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_latescens,1,0,0,1.35E+12,-19.41428342,19.41428342,0,0
Acacia_latifolia,1,0,0,5.61E+12,-23.16077529,23.16077529,0,1
Acacia_leiocalyx,1,0,0,2.53E+12,-25.79163463,25.79163463,0,0
Acacia_lenticularis,1,0,0,4.52E+12,25.01082755,25.01082755,0,2
Acacia_leptocarpa,1,0,0,8.61E+12,-8.24270205,8.24270205,0,0
Acacia_leptoneura,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_leucoclada,1,0,0,2.53E+12,-25.79163463,25.79163463,0,0
Acacia_leucophloea,1,1,2055545262,9.85E+12,9.61704594,9.61704594,0,7
Acacia_ligulata,1,0,0,7.62E+12,-25.55398159,25.55398159,0,1
Acacia_linarioides,1,0,0,1.35E+12,-19.41428342,19.41428342,0,0
Acacia_linearifolia,1,2,2.68E+11,8.02E+11,-32.17021086,32.17021086,0,0
Acacia_lineata,1,0,0,3.74E+12,-27.68672637,27.68672637,0,1
Acacia_linifolia,1,2,2.25E+12,9.33E+11,-19.72942261,19.72942261,0,0
Acacia_loderi,0,0,0,2.01E+12,-31.74043124,31.74043124,0,0
Acacia_longifolia,1,20,2.05E+13,3.81E+12,-34.81475557,34.81475557,0,1
Acacia_longispicata,1,2,1.61E+11,1.73E+12,-22.57378083,22.57378083,0,0
Acacia_longissima,1,0,0,2.53E+12,-25.79163463,25.79163463,0,0
Acacia_luederitzii,1,0,0,6.00E+12,-22.13217901,22.13217901,0,0
Acacia_lunata,1,0,0,8.02E+11,-32.17021086,32.17021086,0,0
Acacia_lysiphloia,1,0,0,5.61E+12,-23.16077529,23.16077529,0,0
Acacia_maconochieana,1,0,0,3.88E+12,-23.4204532,23.4204532,0,0
Acacia_macracantha,1,3,7.09E+11,9.22E+12,10.95431915,10.95431915,0,0
Acacia_macrostachya,0,0,0,8.43E+12,14.16433158,14.16433158,0,0
Acacia_mangium,1,7,5.70E+11,4.72E+12,-6.73971578,6.73971578,0,3
Acacia_martii,1,0,0,8.47E+12,-10.77227947,10.77227947,0,0
Acacia_mearnsii,1,34,1.78E+13,6.75E+12,-25.13916559,25.13916559,0,5
Acacia_melanoxylon,1,26,1.71E+13,6.34E+12,-34.37437305,34.37437305,0,4
Acacia_melleodora,1,0,0,6.59E+12,-24.24846479,24.24846479,0,0
Acacia_mellifera,1,4,8.62E+12,1.92E+13,3.14839667,3.14839667,0,0
Acacia_microbotrya,1,1,1.89E+11,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_mimula,1,0,0,1.35E+12,-19.41428342,19.41428342,0,0
Acacia_modesta,1,0,0,5.44E+12,22.67013251,22.67013251,0,3
Acacia_monticola,1,0,0,5.61E+12,-23.16077529,23.16077529,0,0
Acacia_montigena,1,0,0,6.14E+12,-2.31575104,2.31575104,0,0
Acacia_mooreana,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_mucronata,1,2,2.68E+11,1.10E+12,-37.59703205,37.59703205,0,0
Acacia_multisiliqua,1,0,0,5.61E+12,-23.16077529,23.16077529,0,1
Acacia_mutabilis,1,0,0,3.51E+12,-26.80243548,26.80243548,0,0
Acacia_myrtifolia,1,1,1.30E+11,6.34E+12,-34.37260051,34.37260051,0,1
Acacia_nanodealbata,1,0,0,2.28E+11,-36.85746645,36.85746645,0,0
Acacia_nebrownii,1,0,0,4.44E+12,-23.50241383,23.50241383,0,0
Acacia_negrii,1,0,0,1.13E+12,8.62614058,8.62614058,0,0
Acacia_neriifolia,1,4,2.94E+12,2.53E+12,-25.79163463,25.79163463,0,0
Acacia_nervosa,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_neurocarpa,1,0,0,3.88E+12,-23.4204532,23.4204532,0,0
Acacia_nigrescens,1,0,0,7.06E+12,-20.7672165,20.7672165,0,0
Acacia_nigricans,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_nilotica,1,21,4.86E+12,3.07E+13,17.54782283,17.54782283,0,6
Acacia_notabilis,1,1,1.89E+11,2.01E+12,-31.74043124,31.74043124,0,0
Acacia_obliquinervea,1,1,1.53E+11,NA,NA,NA,0,1
Acacia_oerfota,1,0,0,1.16E+13,20.28361335,20.28361335,0,2
Acacia_olgana,1,0,0,4.86E+12,-24.83278022,24.83278022,0,0
Acacia_omalophylla,1,3,1.01E+12,2.76E+12,-26.80239184,26.80239184,0,2
Acacia_oncinocarpa,1,0,0,1.35E+12,-19.41428342,19.41428342,0,0
Acacia_oshanesii,1,0,0,2.53E+12,-25.79163463,25.79163463,0,1
Acacia_oswaldii,1,0,0,7.62E+12,-25.55398159,25.55398159,0,2
Acacia_oxycedrus,1,1,1.89E+11,2.01E+12,-31.74043124,31.74043124,0,1
Acacia_papyrocarpa,1,0,0,3.51E+12,-26.80243548,26.80243548,0,0
Acacia_paradoxa,1,8,4.29E+12,6.27E+12,-26.80596132,26.80596132,0,2
Acacia_parvipinnula,1,0,0,8.02E+11,-32.17021086,32.17021086,0,0
Acacia_patagiata,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_pellita,1,0,0,3.88E+12,-23.4204532,23.4204532,0,0
Acacia_pendula,1,1,2.67E+12,3.74E+12,-27.68672637,27.68672637,0,1
Acacia_pennata,1,0,0,1.05E+13,19.31121046,19.31121046,0,4
Acacia_pennatula,1,1,2645044536,4.62E+12,12.08791594,12.08791594,0,0
Acacia_pentadenia,1,0,0,2.53E+12,-25.46607155,25.46607155,0,1
Acacia_pentagona,0,0,0,1.33E+13,0.15659481,0.15659481,0,0
Acacia_permixta,1,0,0,3.06E+12,-22.24326179,22.24326179,0,0
Acacia_planifrons,1,0,0,1.51E+12,13.13088727,13.13088727,0,2
Acacia_platycarpa,1,0,0,5.61E+12,-23.16077529,23.16077529,0,0
Acacia_plectocarpa,1,0,0,5.61E+12,-23.16077529,23.16077529,0,0
Acacia_podalyriifolia,1,13,2.26E+13,6.17E+12,-11.17061857,11.17061857,0,1
Acacia_polyacantha,1,8,25819574428,2.29E+13,7.27375193,7.27375193,0,2
Acacia_polybotrya,1,1,2.12E+12,2.66E+12,-16.5401345,16.5401345,0,1
Acacia_polystachya,1,2,19647135431,1.73E+12,-22.57378083,22.57378083,0,0
Acacia_prasinata,1,0,0,1.13E+12,8.62614058,8.62614058,0,0
Acacia_pravissima,1,0,0,1.03E+12,-33.25653662,33.25653662,0,1
Acacia_prominens,1,3,5.87E+11,8.02E+11,-32.17021086,32.17021086,0,1
Acacia_pteridifolia,0,0,0,NA,NA,NA,0,0
Acacia_pubescens,1,0,0,8.02E+11,-32.17021086,32.17021086,0,1
Acacia_pulchella,1,3,3.98E+11,2.53E+12,-25.46607155,25.46607155,0,1
Acacia_pycnantha,1,13,9.77E+12,4.54E+12,-28.33979238,28.33979238,0,4
Acacia_pyrifolia,1,0,0,2.53E+12,-25.46607155,25.46607155,0,1
Acacia_redolens,1,0,0,2.53E+12,-25.46607155,25.46607155,0,1
Acacia_reficiens,1,0,0,7.14E+12,-3.33862735,3.33862735,0,0
Acacia_rehmanniana,1,0,0,4.39E+12,-21.60644316,21.60644316,0,0
Acacia_restiacea,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_retinodes,1,17,8.82E+12,1.28E+12,-36.69836819,36.69836819,0,1
Acacia_richii,1,0,0,NA,NA,NA,0,2
Acacia_rigens,1,0,0,6.27E+12,-26.80241625,26.80241625,0,1
Acacia_robusta,1,1,1.30E+11,8.77E+12,-11.88120425,11.88120425,0,1
Acacia_rossei,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_rostellifera,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_rothii,1,0,0,1.73E+12,-22.57378083,22.57378083,0,0
Acacia_rovumae,1,0,0,3.54E+12,-9.1089338,9.1089338,0,1
Acacia_rubida,1,2,2.68E+11,2.76E+12,-26.81043334,26.81043334,0,2
Acacia_rugata,0,1,355625704.1,NA,NA,NA,0,0
Acacia_sakalava,0,0,0,5.93E+11,-19.37352737,19.37352737,0,1
Acacia_salicina,1,1,1.89E+11,5.09E+12,-25.5974629,25.5974629,0,1
Acacia_saligna,1,21,2.03E+13,6.27E+12,-26.80241625,26.80241625,0,6
Acacia_schaffneri,1,0,0,2.64E+12,27.72393219,27.72393219,0,0
Acacia_schottii,1,0,0,7.51E+11,25.31401375,25.31401375,0,0
Acacia_schweinfurthii,0,0,0,8.74E+12,-8.71366216,8.71366216,0,0
Acacia_sclerosperma,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_senegal,1,3,9.43E+12,2.72E+13,12.45705244,12.45705244,0,7
Acacia_seyal,1,3,3.61E+12,1.79E+13,16.45877917,16.45877917,0,5
Acacia_shirleyi,1,0,0,3.08E+12,-21.20529859,21.20529859,0,2
Acacia_silvestris,1,2,2.68E+11,1.03E+12,-33.25127933,33.25127933,0,2
Acacia_simsii,1,0,0,6.01E+12,-7.72736948,7.72736948,0,0
Acacia_sinuata,1,5,43527378787,8.38E+12,20.82357038,20.82357038,0,3
Acacia_sparsiflora,1,0,0,2.53E+12,-25.79163463,25.79163463,0,2
Acacia_spathulifolia,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_spectabilis,1,2,2.41E+12,2.66E+12,-16.5401345,16.5401345,0,1
Acacia_spinescens,1,1,1.89E+11,1.21E+12,-31.4539516,31.4539516,0,0
Acacia_spinosissima,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_squamata,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_stenophylla,1,1,1.89E+11,7.62E+12,-25.55398159,25.55398159,0,1
Acacia_stenoptera,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_stipuligera,1,0,0,5.61E+12,-23.16077529,23.16077529,0,0
Acacia_stricta,1,3,2.36E+12,3.94E+12,-25.63938184,25.63938184,0,1
Acacia_stuhlmannii,1,0,0,6.93E+12,-11.68388966,11.68388966,0,0
Acacia_suaveolens,1,1,2.12E+12,3.94E+12,-25.63938184,25.63938184,0,1
Acacia_subcaerulea,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_sulcata,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_swazica,1,0,0,3.47E+12,-21.47861499,21.47861499,0,0
Acacia_teniana,1,0,0,8.64E+11,28.17015284,28.17015284,0,0
Acacia_tenuispina,1,0,0,3.25E+12,-23.83428126,23.83428126,0,0
Acacia_tenuissima,1,0,0,6.59E+12,-24.24846479,24.24846479,0,1
Acacia_tephrina,1,0,0,3.08E+12,-21.20529859,21.20529859,0,0
Acacia_terminalis,1,1,3.19E+11,1.10E+12,-37.59703205,37.59703205,0,1
Acacia_tetragonocarpa,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_tetragonophylla,1,0,0,7.39E+12,-25.1628483,25.1628483,0,2
Acacia_thomsonii,1,0,0,5.61E+12,-23.16077529,23.16077529,0,0
Acacia_tomentosa,1,0,0,6.48E+12,7.27707362,7.27707362,0,1
Acacia_tortilis,1,4,3.35E+12,2.52E+13,7.84844836,7.84844836,0,7
Acacia_torulosa,1,0,0,3.08E+12,-21.20529859,21.20529859,0,0
Acacia_trachycarpa,1,0,0,2.53E+12,-25.46607155,25.46607155,0,2
Acacia_trachyphloia,1,0,0,8.02E+11,-32.17021086,32.17021086,0,1
Acacia_translucens,1,0,0,3.88E+12,-23.4204532,23.4204532,0,0
Acacia_trineura,1,0,0,2.01E+12,-31.74043124,31.74043124,0,0
Acacia_triptera,1,0,0,2.76E+12,-26.80239184,26.80239184,0,0
Acacia_tumida,1,0,0,3.88E+12,-23.4204532,23.4204532,0,3
Acacia_ulicifolia,1,0,0,2.83E+12,-34.37660906,34.37660906,0,0
Acacia_umbellata,1,0,0,3.08E+12,-21.20529859,21.20529859,0,0
Acacia_uncifera,1,0,0,1.73E+12,-22.57378083,22.57378083,0,0
Acacia_urophylla,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_velutina,0,0,0,3.18E+12,-29.30640004,29.30640004,0,0
Acacia_verniciflua,1,0,0,3.81E+12,-34.81740116,34.81740116,0,1
Acacia_verticillata,1,6,2.28E+12,2.08E+12,-36.84160801,36.84160801,0,1
Acacia_vestita,1,2,8.52E+12,8.02E+11,-32.17021086,32.17021086,0,1
Acacia_victoriae,1,0,0,7.62E+12,-25.55398159,25.55398159,0,3
Acacia_villosa,1,0,0,1.02E+13,21.42779902,21.42779902,0,0
Acacia_visco,1,1,2.67E+12,2.78E+12,-35.37667204,35.37667204,0,0
Acacia_volubilis,1,0,0,2.53E+12,-25.46607155,25.46607155,0,0
Acacia_welwitschii,1,0,0,5.21E+12,-18.41585635,18.41585635,0,0
Acacia_wilhelmiana,1,0,0,2.01E+12,-31.74043124,31.74043124,0,0
