Phy,Name,EFN
Camponotus_planatus,Camponotus planatus,1
Camponotus_prosseri,Camponotus prosseri,0
Camponotus_quercicola,Camponotus quercicola,0
Camponotus_rectangularis,Camponotus rectangularis,0
Camponotus_renggeri,Camponotus renggeri,0
Camponotus_robustus,Camponotus robustus,0
Camponotus_rufipes,Camponotus rufipes,1
Camponotus_semitestaceus,Camponotus semitestaceus,0
Camponotus_sericeus,Camponotus sericeus,1
Camponotus_setosus,Camponotus setosus,0
Camponotus_terebrans,Camponotus terebrans,0
Camponotus_tortuganus,Camponotus tortuganus,1
Camponotus_vicinus,Camponotus vicinus,0
Camponotus_wiederkehri,Camponotus wiederkehri,0
Cardiocondyla_atalanta,Cardiocondyla atalanta,0
Cardiocondyla_batesii,Cardiocondyla batesii,0
Cardiocondyla_elegans,Cardiocondyla elegans,0
Cardiocondyla_emeryi,Cardiocondyla emeryi,0
Cardiocondyla_kagutsuchi,Cardiocondyla kagutsuchi,0
Cardiocondyla_koshewnikovi,Cardiocondyla koshewnikovi,0
Cardiocondyla_mauritanica,Cardiocondyla mauritanica,0
Cardiocondyla_minutior,Cardiocondyla minutior,0
Cardiocondyla_nigra,Cardiocondyla nigra,0
Cardiocondyla_nigrocerea,Cardiocondyla nigrocerea,0
Cardiocondyla_nuda,Cardiocondyla nuda,0
Cardiocondyla_obscurior,Cardiocondyla obscurior,0
Cardiocondyla_paradoxa,Cardiocondyla paradoxa,0
Cardiocondyla_parvinoda,Cardiocondyla parvinoda,0
Cardiocondyla_venustula,Cardiocondyla venustula,0
Carebara_alperti,Carebara alperti,0
Carebara_vidua,Carebara vidua,0
Cataglyphis_aenescens,Cataglyphis aenescens,0
Cataglyphis_cursor,Cataglyphis cursor,0
Cataglyphis_iberica,Cataglyphis iberica,0
Centromyrmex_feae,Centromyrmex feae,0
Cephalotes_alfaroi,Cephalotes alfaroi,0
Cephalotes_atratus,Cephalotes atratus,1
Cephalotes_basalis,Cephalotes basalis,0
Cephalotes_clypeatus,Cephalotes clypeatus,0
Cephalotes_cristatus,Cephalotes cristatus,0
Cephalotes_depressus,Cephalotes depressus,0
Cephalotes_goniodontus,Cephalotes goniodontus,0
Cephalotes_minutus,Cephalotes minutus,1
Cephalotes_multispinosus,Cephalotes multispinosus,0
Cephalotes_pusillus,Cephalotes pusillus,1
Cephalotes_rohweri,Cephalotes rohweri,0
Cephalotes_setulifer,Cephalotes setulifer,0
Cephalotes_spinosus,Cephalotes spinosus,0
Cephalotes_umbraculatus,Cephalotes umbraculatus,0
Cephalotes_varians,Cephalotes varians,0
Cerapachys_jacobsoni,Cerapachys jacobsoni,0
Cheliomyrmex_andicola,Cheliomyrmex andicola,0
Cladomyrma_petalae,Cladomyrma petalae,1
Crematogaster_acuta,Crematogaster acuta,0
Crematogaster_auberti,Crematogaster auberti,0
Crematogaster_borneensis,Crematogaster borneensis,0
Crematogaster_castanea,Crematogaster castanea,0
Crematogaster_coriaria,Crematogaster coriaria,0
Crematogaster_degeeri,Crematogaster degeeri,0
Crematogaster_flava,Crematogaster flava,0
Crematogaster_formosa,Crematogaster formosa,1
Crematogaster_fraxatrix,Crematogaster fraxatrix,0
Crematogaster_grevei,Crematogaster grevei,0
Crematogaster_inflata,Crematogaster inflata,0
Crematogaster_ionia,Crematogaster ionia,0
Crematogaster_irritabilis,Crematogaster irritabilis,0
Crematogaster_liengmei,Crematogaster liengmei,0
Crematogaster_lineolata,Crematogaster lineolata,0
Crematogaster_longispina,Crematogaster longispina,0
Crematogaster_madecassa,Crematogaster madecassa,0
Crematogaster_mahery,Crematogaster mahery,0
Crematogaster_modiglianii,Crematogaster modiglianii,0
Crematogaster_nigropilosa,Crematogaster nigropilosa,0
Crematogaster_opaca,Crematogaster opaca,1
Crematogaster_osakensis,Crematogaster osakensis,0
Crematogaster_paradoxa,Crematogaster paradoxa,0
Crematogaster_pilosa,Crematogaster pilosa,1
Crematogaster_quadriformis,Crematogaster quadriformis,0
Crematogaster_ranavalonae,Crematogaster ranavalonae,0
Crematogaster_reticulata,Crematogaster reticulata,0
Crematogaster_rothneyi,Crematogaster rothneyi,1
Crematogaster_scutellaris,Crematogaster scutellaris,0
Crematogaster_sordidula,Crematogaster sordidula,0
Crematogaster_stadelmanni,Crematogaster stadelmanni,0
Crematogaster_subnuda,Crematogaster subnuda,0
Crematogaster_tenuicula,Crematogaster tenuicula,0
Crematogaster_torosa,Crematogaster torosa,0
Crematogaster_treubi,Crematogaster treubi,0
Crematogaster_victima,Crematogaster victima,0
