Phy,,Valid,maxlatall,minlatall,midpoint,abs_lat_native
Camponotus_monju,,Camponotus.monju,33.95080058,21.90300058,27.92690058,27.92690058
Camponotus_montivagus,,Camponotus.montivagus,22.47220058,13.74580058,18.10900058,18.10900058
Camponotus_morosus,,Camponotus.morosus,-9.67919942,-55.982224,-32.83071171,32.83071171
Camponotus_mozabensis,,Camponotus.mozabensis,37.09130058,18.97640058,28.03385058,28.03385058
Camponotus_mucronatus,,Camponotus.mucronatus,24.56310058,0.97110058,12.76710058,12.76710058
Camponotus_mucronatus formaster,,Camponotus.mucronatus formaster,22.76470058,13.74580058,18.25525058,18.25525058
Camponotus_mucronatus hirsutinasus,,Camponotus.mucronatus hirsutinasus,22.47220058,13.74580058,18.10900058,18.10900058
Camponotus_mucronatus santschii,,Camponotus.mucronatus santschii,17.82110058,3.69750058,10.75930058,10.75930058
Camponotus_mus,,Camponotus.mus,27.66890058,-46.00029942,-9.16569942,9.16569942
Camponotus_mus mendozanus,,Camponotus.mus mendozanus,-31.95479942,-37.56539942,-34.76009942,34.76009942
Camponotus_mus mustelus,,Camponotus.mus mustelus,-0.03139942,-22.90109942,-11.46624942,11.46624942
Camponotus_mussolinii,,Camponotus.mussolinii,1.06970058,-11.15669942,-5.04349942,5.04349942
Camponotus_mutilarius,,Camponotus.mutilarius,35.50610058,9.60580058,22.55595058,22.55595058
Camponotus_mystaceus,,Camponotus.mystaceus,-15.61609942,-46.96979942,-31.29294942,31.29294942
Camponotus_mystaceus exsanguis,,Camponotus.mystaceus exsanguis,-4.38899942,-46.96979942,-25.67939942,25.67939942
Camponotus_mystaceus kamae,,Camponotus.mystaceus kamae,-8.19169942,-46.96979942,-27.58074942,27.58074942
Camponotus_nacerdus,,Camponotus.nacerdus,22.47220058,17.15000058,19.81110058,19.81110058
Camponotus_naegelii,,Camponotus.naegelii,-19.77999942,-33.74389942,-26.76194942,26.76194942
Camponotus_namacola,,Camponotus.namacola,-16.95279942,-46.96979942,-31.96129942,31.96129942
Camponotus_nasicus,,Camponotus.nasicus,-11.94559942,-25.60029942,-18.77294942,18.77294942
Camponotus_nasutus,,Camponotus.nasutus,4.62250058,-46.96979942,-21.17364942,21.17364942
Camponotus_nasutus fenestralis,,Camponotus.nasutus fenestralis,-16.95279942,-28.96249942,-22.95764942,22.95764942
Camponotus_nasutus pretiosus,,Camponotus.nasutus pretiosus,-15.61609942,-22.41479942,-19.01544942,19.01544942
Camponotus_nasutus quinquedentatus,,Camponotus.nasutus quinquedentatus,-22.12389942,-46.96979942,-34.54684942,34.54684942
Camponotus_nasutus subnasutus,,Camponotus.nasutus subnasutus,-15.61609942,-46.96979942,-31.29294942,31.29294942
Camponotus_natalensis,,Camponotus.natalensis,-22.12389942,-46.96979942,-34.54684942,34.54684942
Camponotus_natalensis corvus,,Camponotus.natalensis corvus,-22.12389942,-46.96979942,-34.54684942,34.54684942
Camponotus_natalensis diabolus,,Camponotus.natalensis diabolus,-8.19169942,-46.96979942,-27.58074942,27.58074942
