bentity2_name,Phy,Genus_name,Ecological.Stratum,Exotic_status,Notes,area_sqkm
Albania,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Indoor Introduced,,28792.89125
Alberta,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Indoor Introduced,,663440.0675
Alberta,Lasius_niger,Lasius,Epigaeic & Hypogaeic,Exotic,,663440.0675
Alberta,Hypoponera_punctatissima,Hypoponera,Epigaeic & Hypogaeic,Indoor Introduced,,663440.0675
Alberta,Brachymyrmex_obscurior,Brachymyrmex,Arboreal & Epigaeic,Indoor Introduced,,663440.0675
Alberta,Paratrechina_longicornis,Paratrechina,Epigaeic,Indoor Introduced,,663440.0675
Algeria,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Exotic,,2317506.149
Algeria,Lioponera_longitarsus,Lioponera,Arboreal & Epigaeic & Hypogaeic,Exotic,,2317506.149
Algeria,Tetramorium_lanuginosum,Tetramorium,Arboreal & Epigaeic,Exotic,,2317506.149
Algeria,Tapinoma_simrothi,Tapinoma,Arboreal & Epigaeic,Exotic,,2317506.149
Algeria,Monomorium_monomorium,Monomorium,Arboreal & Epigaeic,Exotic,,2317506.149
Algeria,Linepithema_humile,Linepithema,Epigaeic,Exotic,,2317506.149
Algeria,Strumigenys_membranifera,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Exotic,,2317506.149
Algeria,Nylanderia_jaegerskioeldi,Nylanderia,Epigaeic,Exotic,,2317506.149
Algeria,Tetramorium_simillimum,Tetramorium,Arboreal & Epigaeic,Exotic,,2317506.149
Algeria,Trichomyrmex_destructor,Trichomyrmex,Epigaeic,Exotic,,2317506.149
Algeria,Lasius_niger,Lasius,Epigaeic & Hypogaeic,Exotic,,2317506.149
Algeria,Messor_capitatus,Messor,Epigaeic,Exotic,,2317506.149
Algeria,Paratrechina_longicornis,Paratrechina,Epigaeic,Exotic,,2317506.149
Algeria,Tetramorium_bicarinatum,Tetramorium,Arboreal & Epigaeic,Exotic,,2317506.149
Algeria,Tetramorium_sericeiventre,Tetramorium,Arboreal & Epigaeic,Exotic,,2317506.149
Amazonas,Cardiocondyla_minutior,Cardiocondyla,Epigaeic,Exotic,,110989.3312
Amazonas,Pheidole_megacephala,Pheidole,Epigaeic,Exotic,,110989.3312
Amazonas,Tetramorium_simillimum,Tetramorium,Arboreal & Epigaeic,Exotic,,110989.3312
Amazonas,Tetramorium_caldarium,Tetramorium,Arboreal & Epigaeic,Exotic,,110989.3312
Amazonas,Tapinoma_melanocephalum,Tapinoma,Arboreal & Epigaeic,Exotic,,110989.3312
Amazonas,Nylanderia_fulva,Nylanderia,Epigaeic,Exotic,,110989.3312
Amazonas,Monomorium_floricola,Monomorium,Arboreal & Epigaeic,Exotic,,110989.3312
Amazonas,Paratrechina_longicornis,Paratrechina,Epigaeic,Exotic,,110989.3312
Amazonas_Brazil,Tetramorium_simillimum,Tetramorium,Arboreal & Epigaeic,Exotic,,1566026.545
Amazonas_Brazil,Pheidole_megacephala,Pheidole,Epigaeic,Exotic,,1566026.545
Amazonas_Brazil,Cardiocondyla_emeryi,Cardiocondyla,Epigaeic,Exotic,,1566026.545
Amazonas_Brazil,Monomorium_floricola,Monomorium,Arboreal & Epigaeic,Exotic,,1566026.545
Amazonas_Brazil,Tapinoma_melanocephalum,Tapinoma,Arboreal & Epigaeic,Exotic,,1566026.545
Amazonas_Brazil,Tetramorium_bicarinatum,Tetramorium,Arboreal & Epigaeic,Exotic,,1566026.545
Amazonas_Brazil,Nylanderia_fulva,Nylanderia,Epigaeic,Exotic,,1566026.545
Amazonas_Brazil,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Exotic,,1566026.545
Amazonas_Brazil,Paratrechina_longicornis,Paratrechina,Epigaeic,Exotic,,1566026.545
Andaman and Nicobar Islands,Tetramorium_pacificum,Tetramorium,Arboreal & Epigaeic,Exotic,,7399.97179
Andaman and Nicobar Islands,Pheidole_megacephala,Pheidole,Epigaeic,Exotic,,7399.97179
Andaman and Nicobar Islands,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Exotic,,7399.97179
Andaman and Nicobar Islands,Polyrhachis_rastellata,Polyrhachis,Arboreal & Epigaeic,Intercepted,,7399.97179
Andaman and Nicobar Islands,Tetramorium_lanuginosum,Tetramorium,Arboreal & Epigaeic,Exotic,,7399.97179
Andaman and Nicobar Islands,Tetramorium_bicarinatum,Tetramorium,Arboreal & Epigaeic,Exotic,,7399.97179
Andaman and Nicobar Islands,Trichomyrmex_destructor,Trichomyrmex,Epigaeic,Exotic,,7399.97179
Andaman and Nicobar Islands,Paratrechina_longicornis,Paratrechina,Epigaeic,Exotic,,7399.97179
Andaman and Nicobar Islands,Solenopsis_geminata,Solenopsis,Epigaeic & Hypogaeic,Exotic,,7399.97179
Andhra Pradesh,Tetramorium_bicarinatum,Tetramorium,Arboreal & Epigaeic,Exotic,,275374.5144
Andhra Pradesh,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Exotic,,275374.5144
Andhra Pradesh,Pheidole_megacephala,Pheidole,Epigaeic,Exotic,,275374.5144
Andorra,Lasius_neglectus,Lasius,Epigaeic & Hypogaeic,Exotic,,453.2255469
Andorra,Hypoponera_punctatissima,Hypoponera,Epigaeic & Hypogaeic,Exotic,,453.2255469
Angola,Monomorium_floricola,Monomorium,Arboreal & Epigaeic,Exotic,,1247631.21
Anhui,Monomorium_monomorium,Monomorium,Arboreal & Epigaeic,Exotic,,140101.2546
Anhui,Plagiolepis_alluaudi,Plagiolepis,Epigaeic,Exotic,,140101.2546
Antioquia,Tetramorium_bicarinatum,Tetramorium,Arboreal & Epigaeic,Exotic,,63008.6383
Antioquia,Tapinoma_melanocephalum,Tapinoma,Arboreal & Epigaeic,Exotic,,63008.6383
Antioquia,Paratrechina_longicornis,Paratrechina,Epigaeic,Exotic,,63008.6383
Antioquia,Cardiocondyla_minutior,Cardiocondyla,Epigaeic,Exotic,,63008.6383
Antioquia,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Exotic,,63008.6383
Antioquia,Cardiocondyla_wroughtonii,Cardiocondyla,Epigaeic,Exotic,,63008.6383
Antioquia,Monomorium_floricola,Monomorium,Arboreal & Epigaeic,Exotic,,63008.6383
Antioquia,Tetramorium_simillimum,Tetramorium,Arboreal & Epigaeic,Exotic,,63008.6383
Antioquia,Strumigenys_emmae,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Exotic,,63008.6383
Arauca,Tapinoma_melanocephalum,Tapinoma,Arboreal & Epigaeic,Exotic,,23375.03877
Arizona,Cardiocondyla_mauritanica,Cardiocondyla,Epigaeic,Exotic,,294395.2916
Arizona,Hypoponera_punctatissima,Hypoponera,Epigaeic & Hypogaeic,Exotic,,294395.2916
Arizona,Brachymyrmex_cordemoyi,Brachymyrmex,Arboreal & Epigaeic,Exotic,,294395.2916
Arizona,Strumigenys_rogeri,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Indoor Introduced,,294395.2916
Arizona,Cardiocondyla_venustula,Cardiocondyla,Epigaeic,Exotic,,294395.2916
Arizona,Tapinoma_melanocephalum,Tapinoma,Arboreal & Epigaeic,Indoor Introduced,,294395.2916
Arizona,Brachymyrmex_obscurior,Brachymyrmex,Arboreal & Epigaeic,Exotic,,294395.2916
Arizona,Monomorium_pharaonis,Monomorium,Arboreal & Epigaeic,Indoor Introduced,,294395.2916
Arizona,Strumigenys_membranifera,Strumigenys,Arboreal & Epigaeic & Hypogaeic,Exotic,,294395.2916
