"Phy","fixer","num_introduced","total_area_introduced","total_area_native","lat_native","abs_lat_native","annual","uses_num_uses","submitted_name","matched_name","data_source_title","score","num_words","diff","RangeY","domY","efnY","n.records","sum.AM","sum.EM","AM","EM","EFN","matched_name_EFN","Domatia"
"Acacia alleniana",1,0,0,3.08e+12,-21.20529859,21.20529859,0,0,"Acacia alleniana","Acacia alleniana","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Acacia alpina",1,0,0,1.03e+12,-33.25653662,33.25653662,0,0,"Acacia alpina","Acacia alpina","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Acacia amoena",1,0,0,1.03e+12,-33.25127933,33.25127933,0,0,"Acacia amoena","Acacia amoena","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia amoena",0
"Acacia ampliceps",1,0,0,3.88e+12,-23.4204532,23.4204532,0,0,"Acacia ampliceps","Acacia ampliceps","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Acacia amythethophylla",1,0,0,1.56e+13,5.94028443,5.94028443,0,0,"Acacia amythethophylla","Acacia amythethophylla","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Acacia anceps",1,0,0,3.51e+12,-26.80243548,26.80243548,0,0,"Acacia anceps","Acacia anceps","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Acacia ancistrocarpa",1,0,0,5.61e+12,-23.16077529,23.16077529,0,0,"Acacia ancistrocarpa","Acacia ancistrocarpa","Wikispecies",0.988,2,TRUE,TRUE,FALSE,FALSE,1,1,0,"Y","N",0,NA,0
"Acacia aneura",1,2,1.38e+12,7.39e+12,-25.1628483,25.1628483,0,1,"Acacia aneura","Acacia aneura","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,5,2,4,"Y","Y",1,"Acacia aneura",0
"Acacia angustissima",1,2,9.84e+11,4.23e+12,21.47488705,21.47488705,0,0,"Acacia angustissima","Acacia angustissima","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia angustissima",0
"Acacia arenaria",1,0,0,3.95e+12,-12.05670466,12.05670466,0,0,"Acacia arenaria","Acacia arenaria","Encyclopedia of Life",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Acacia argyrodendron",1,0,0,1.73e+12,-22.57378083,22.57378083,0,0,"Acacia argyrodendron","Acacia argyrodendron","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Acacia aroma",1,0,0,5.22e+12,-22.77391815,22.77391815,0,0,"Acacia aroma","Acacia aroma","Freebase",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Vachellia aroma",0
"Acacia aspera",1,0,0,1.03e+12,-33.25653662,33.25653662,0,0,"Acacia aspera","Acacia aspera","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"Acacia ataxacantha",0,0,0,1.73e+13,-9.5142675,9.5142675,0,0,"Acacia ataxacantha","Acacia ataxacantha","Wikispecies",0.988,2,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,"Acacia ataxacantha",0
"Acacia aulacocarpa",1,0,0,9.34e+12,-8.51803986,8.51803986,0,1,"Acacia aulacocarpa","Acacia aulacocarpa","Wikispecies",0.988,2,TRUE,TRUE,FALSE,TRUE,4,4,1,"Y","Y",1,"Acacia aulacocarpa",0
