Ant domatium-bearing species,Family,References,Geography,Type of domatia,Confidence level,Notes
Coussapoa asperifolia Trécul,Urticaceae,Berg et al. (1990),Neotropics,Stem domatia,High,
Crypteronia griffithii C.B.Clarke,Crypteroniaceae,Agosti et al. (1999); Jolivet (1996); Maschwitz et al. (1991),"SE Asia, Malaysia, Sumatra, Borneo",Stem domatia - hollow stem  soft pith hollowed by Cladomyrmex plant-ants,Moderate,
Crypteronia macrophylla Beus.-Osinga,Crypteroniaceae,Agosti et al. (1999),"SE Asia, Central part of Sarawak only","Stem domatia - hollow twigs - ""typical signs of regular Cladomyrma occupation""",Moderate,Interation not documented in the field
Cuviera acutiflora DC.,Rubiaceae,"Donisthorpe (1945); C.R. Huxley-Lambrick, pers. obs.",Tropical Africa,Apparently leaf petiole according to Donishthorpe (1945) but nothing visible on herbarium specimens,Moderate,"""myrmecodomatia on leaf petioles of Cuviera acutiflora. Gold Coast, Asuansi, Sept. 8, 1943. No. H.1403."""
Cuviera latior Wernham,Rubiaceae,Onana (2008),Tropical Africa,Stem domatia - swollen hollow twigs,Moderate,"Morphology clear but interactions not studied. Quote from Onana (2008): ""The swollen branches (observed in C. latior Wernham, C. letestui N. Hallé and C. pierrei N. Hallé) suggest that some species may be myrmecophytes."""
Cuviera ledermannii K.Krause,Rubiaceae,Bequaert (1922),Tropical Africa,Stem domatia - elongated swollen hollow twigs,High,"Quote from Bailey (1922) in Wheeler refering to Cuviera myrmecophytes: ""elongated, spindle- shaped swellings on the branches""; quote form Becquaert relating to C. ledermannii: ""swollen, a little flattened and hollow at the nodes"""
Cuviera letestui Pellegr.,Rubiaceae,Onana (2008),Tropica Africa,Stem domatia - swollen hollow twigs,Moderate,"Morphology clear but interactions not studied. Quote from Onana (2008): ""The swollen branches (observed in C. latior Wernham, C. letestui N. Hallé and C. pierrei N. Hallé) suggest that some species may be myrmecophytes."""
Cuviera longiflora Hiern (= C. angolensis),Rubiaceae,Uphof (1942); Hepper (1963); Robbrecht (1979),Tropical Africa,Stem domatia - elongated swollen hollow twigs,High,"Quote from Bailey (1922) in Wheeler refering to Cuviera myrmecophytes: ""elongated, spindle- shaped swellings on the branches"""
Cuviera macroura K.Schum.,Rubiaceae,"C.R. Huxley-Lambrick, pers. obs.",Tropical Africa,Stem domatia - elongated swollen hollow twigs,High,"Quote from Bailey (1922) in Wheeler refering to Cuviera myrmecophytes: ""elongated, spindle- shaped swellings on the branches"""
Cuviera physinodes K.Schum.,Rubiaceae,Schumann (1888); Bequaert (1922),Tropical Africa,Stem domatia - swollen hollow twigs,High,
Cuviera pierrei N.Hallé,Rubiaceae,Onana (2008),Tropica Africa,Stem domatia - swollen hollow twigs,Moderate,"Morphology clear but interactions not studied. Quote from Onana (2008): ""The swollen branches (observed in C. latior Wernham, C. letestui N. Hallé and C. pierrei N. Hallé) suggest that some species may be myrmecophytes."""
Dactyladenia floretii Breteler,Chrysobalanaceae,Breteler (2000),Gabon,Stipular pouches,High,"Breteler (2000): ""Both species are distinguished from all other members of the genus by their stipules, which are transformed into pouches that are inhabited by small ants."""
Dactyladenia jongkindii Breteler,Chrysobalanaceae,Breteler (2000),Gabon,Stipular pouches,High,"Breteler (2000): ""Both species are distinguished from all other members of the genus by their stipules, which are transformed into pouches that are inhabited by small ants."""
Daemonorops jenkinsiana (Griff.) Mart.,Arecaceae,Bequaert (1922); Jolivet (1996),Indo-Maleysian region,Leaf sheath domatia - interlocking spine combs forming horizontal galleries around the leaf sheath,High,
Daemonorops macrophylla Becc.,Arecaceae,Moog et al. (2003),SE Asia - Malaysia,Leaf sheath domatia - interlocking spine combs forming horizontal galleries around the leaf sheath,High,
Daemonorops oligophylla Becc.,Arecaceae,Moog et al. (2003),SE Asia - Malaysia,Leaf sheath domatia - interlocking spine combs forming horizontal galleries around the leaf sheath,High,
Daemonorops sabut Becc.,Arecaceae,Moog et al. (2003),SE Asia - Malaysia,Leaf sheath domatia - interlocking spine combs forming horizontal galleries around the leaf sheath,High,
Daemonorops verticillaris (Griff.) Mart.,Arecaceae,Moog et al. (2003),SE Asia - Malaysia,Leaf sheath domatia - interlocking spine combs forming horizontal galleries around the leaf sheath,High,
Delpydora macrophylla Pierre,Sapotaceae,McKey and Davidson (1993),"Tropical Africa, Central forest block",Leaf domatia - pouches at the base of the lamina,High,
Dichapetalum gassitae Breteler,Dichapetalaceae,"Breteler and Nzabi (1995); Breteler (2006): ""Leaf-blade at base with 2 very distinct pear-shaped pouches""",Gabon,Leaf pouch,High,
Diospyros andamanica (Kurz) Bakh.,Ebenaceae,Wong and Puff (1995),SE Asia - Malaysia,Cluster of cup-shaped leaves where ants build carton nest,High,
Diospyros conocarpa Gürke ex K.Schum.,Ebenaceae,Letouzey and White (1977); McKey and Davidson (1993),Tropical Africa,Leaf domatia - Hairy domatia formed by persistent cataphylls,High,
Diplectria beccariana Kuntze,Melastomataceae,Clausing (1998),"Sarawak, Borneo",Interpetiolar pockets,Moderate,
Diplectria beccariana Kuntze,Melastomataceae,Clausing (1998),Sarawak,Stipular domatia - interpetiolar pockets occupied by Crematogaster ants,Moderate,
Dischidia albiflora Griff.,Apocynaceae,Moog et al. (2003),Java,External domatia with leaves appressed again tree bark forming nesting space for ants,High,
Dischidia astephana Scort. ex King & Gamble,Apocynaceae,Weir and Kiew (1986),SE Asia,External domatia with leaves appressed again tree bark forming nesting space for ants,High,
Dischidia cochleata Blume,Apocynaceae,Moog et al. (2003),SE Asia,External domatia with leaves appressed again tree bark forming nesting space for ants,High,
Dischidia complex Griff.,Apocynaceae,Rintz (1980),Malaysia,Leaf domatia - Whole leaf folded into a pouch,High,
Dischidia digitiformis Becc.,Apocynaceae,Beccari (1877); image in jstor plants (see notes),Sulawesi,Leaf domatia - Whole leaf folded into a pouch,high,https://plants.jstor.org/stable/10.5555/al.ap.specimen.fi008059?searchUri=filter%3Dname%26so%3Dps_group_by_genus_species%2Basc%26Query%3DDischidia%2Bdigitiformis
Dischidia diphylla Elmer,Apocynaceae,Elmer (1938),SE Asia,External domatia with leaves appressed again tree bark forming nesting space for ants,High,
Dischidia imbricata (Blume) Steud.,Apocynaceae,Kaufmann (2002) ; Moog et al. (2003),Java,External domatia with leaves appressed again tree bark forming nesting space for ants,High,
Dischidia longipedunculata Ridl.,Apocynaceae,Kerr (1912); Ridley (1912); Moog et al. (2003); Weir and Kiew (1986),SE Asia,Leaf domatia - Whole leaf folded into a pouch,High,
Dischidia major (Vahl) Merr.,Apocynaceae,Griffith and Solly (1851); Groom (1893); Scott and Sargant (1893); Treseder et al. (1995),"SE Asia: Java, Thailand, Vietnam and Laos",Leaf domatia - Whole leaf folded into a pouch,High,
Dischidia milnei Hemsl.,Apocynaceae,"G. Chomicki pers. obs. From photos Typical external domatia with leaves appressed against tree bark, verified also in herbarium specimen Milne, #165 (K)",SE Asia,External domatia formed by the leaves pressed against the host tree,High,https://plants.jstor.org/stable/10.5555/al.ap.specimen.k000910988?searchUri=filter%3Dname%26so%3Dps_group_by_genus_species%2Basc%26Query%3DDischidia%2Bmilnei
Dischidia platyphylla Schltr.,Apocynaceae,"G. Chomicki pers. obs. From photos Typical external domatia with leaves appressed against tree bark; verified on herbarium specimen  Copeland, E. B., #338 (K)",SE Asia,External domatia with leaves appressed again tree bark forming nesting space for ants,High,https://plants.jstor.org/stable/10.5555/al.ap.specimen.k000911003?searchUri=filter%3Dname%26so%3Dps_group_by_genus_species%2Basc%26Query%3DDischidia%2Bplatyphylla
Dischidia purpurea Merr.,Apocynaceae,"G. Chomicki pers. obs. From photos Typical external domatia with leaves appressed against tree bark, verified also in herbarium specimen Ramos, M., #12012 (K)",SE Asia,External domatia with leaves appressed again tree bark forming nesting space for ants,High,
Dischidia reniformis Schltr.,Apocynaceae,G. Chomicki pers. obs. From photos Typical external domatia with leaves appressed against tree bark,SE Asia,External domatia with leaves appressed again tree bark forming nesting space for ants,Moderate,
Dischidia saccata Warb.,Apocynaceae,Perkins (1904); G. Chomicki pers. obs. From photos,SE Asia,Leaf domatia - Whole leaf pairs folded into pouches,High,
Dischidia sorsogonensis Elmer,Apocynaceae,Pers. obs. C.R. Huxley-Lambrick; Elmer 15809 (BM),Philippines,External domatia - leaves pressed against host tree,High,https://plants.jstor.org/stable/10.5555/al.ap.specimen.ny00318579?searchUri=filter%3Dname%26so%3Dps_group_by_genus_species%2Basc%26Query%3DDischidia%2Bsorsogonensis
Dischidia vidalii Becc. (= D. pectenoides),Apocynaceae,Bequaert (1922); G. Chomicki pers. obs. from photos,SE Asia,Leaf domatia - Whole leaf folded into a pouch,High,
Drypetes longifolia (Blume) Pax & K.Hoffm.,Euphorbiaceae,Moog et al. (2003); Agosti et al. (1999),"SE Asia, Sabah",Stem domatia - swollen twig with soft pith,Moderate,
Duroia hirsuta (Poepp.) K.Schum.,Rubiaceae,Wheeler and Bequaert (1929),"Neotropics, Amazonia",Leaf domatia - sacs at the base of the limb,High,
Duroia petiolaris Spruce ex K.Schum.,Rubiaceae,Wheeler and Bequaert (1929),"Neotropics, Amazonia",Leaf domatia - sacs at the base of the limb,High,
Duroia saccifera (Mart. ex Schult. & Schult.f.) K.Schum.,Rubiaceae,Wheeler and Bequaert (1929); Robbrecht (1988); Dattilo et al. (2013),"Neotropics, Amazonia",Leaf domatia - sacs at the base of the limb,High,
Empogona crepiniana (De Wild. & T.Durand) Tosh & Robbr. (=Tricalysia crepiniana),Rubiaceae,Robbrecht (1979),Tropical Africa,"Stem domatia - hollow stems, soft pith hollowed by ants",Moderate,
Encyclia belizensis subsp. parviflora (Regel) Dressler & G.E.Pollard,Orchidaceae,Damon and Perez-Soriano (2005),"Belize, Central America",Stem domatia - hollow pseudobulb,High,
Endospermum medullosum L.S.Sm. ,Euphorbiaceae,Jolivet (1996),"SE Asia, Malaysia Region",Stem domatia - hollow stem - self-opening,High,
Endospermum moluccanum (Teijsm. & Binn.) Kurz (syn = Endospermum labios Schodde),Euphorbiaceae,"Letourneau et al. (1993); Jolivet (1996); C.R. Huxley-Lambrick, pers. comm.; Arias-Guerrero and Van Welzen (2011)",New Guinea,Stem domatia - hollow stem - self-opening,High,
Endospermum myrmecophilum L.S.Sm.,Euphorbiaceae,Arias-Guerrero and Van Welzen (2011),SE Asia,Stem domatia - hollow stem - self-opening,High,
Fagraea auriculata Jack,Loganiaceae,Bequaert (1922); Burch (1891); Jolivet (1996),Oriental,"the base of the petiole bears auriculate appendages, which are curved downward and more or less pressed against the stem",Moderate,
Fagraea borneensis Scheffer,Loganiaceae,Bequaert (1922); Burch (1891); Jolivet (1996),Borneo,"the base of the petiole bears auriculate appendages, which are curved downward and more or less pressed against the stem",Moderate,
Fagraea imperialis Miquel,Loganiaceae,Bequaert (1922); Burch (1891); Jolivet (1996),Sumatra,"the base of the petiole bears auriculate appendages, which are curved downward and more or less pressed against the stem",Moderate,
Ficus obscura Blume var. borneensis (Miq.) Corner,Moraceae,Maschwitz et al. (1994); Moog et al. (2003),SE Asia - Malaysia,"Stem domatia - swollen hollow twigs, self-opening",High,
Gardenia imperialis K.Schum. and Gardenia imperialis subsp. physophylla (K.Schum.) L.Pauwels,Rubiaceae,Bequaert (1922); Schnell (1963); Schnell (1966); McKey and Davidson (1993); Jolivet (1996),"Tropical Africa, West African forest block",Leaf domatia - base of the leaf blade folded forming a pouch,High,
Gleasonia uaupensis Ducke,Rubiaceae,"Kempf (1975); Benson (1983, 1985); Rogers (1984); Ferdandez (2007); Jolivet (1996)",Neotropics: Brazil,"Stipular domatia - large stipular sheath, which the ant use as scaffold: they use the plant's long trichomes to build their nest",Moderate,
Grammatophyllum speciosum Blume,Orchidaceae,Bequaert (1922); Moog et al. (2003); G. Chomicki pers. obs.,SE Asia - Malaysia,Tangled roots providing a scaffold for ant nesting,High,
Heinsia myrmoecia (K.Schum.) N.Hallé,Rubiaceae,Bequaert (1922); Robbrecht (1988); Jolivet (1996); McKey and Davidson (1993),"Tropical Africa, Central forest block",Stem domatia - swollen hollow twigs,High,
Helicia finisterrae Lauterb.,Proteaceae,"Foreman (1998): ""Helicia versteeghii, H. finisterrae Lauterb., H. macrostachya Lauterb. and H. neglecta Diels ex Sleumer are the only New Guinean Helicia species recorded as having swollen, hollow twigs which are sometimes inhabitated by ants.""",,Swollen hollow stems domatia,Moderate,
Helicia macrostachya Lauterb.,Proteaceae,"Foreman (1998): ""Helicia versteeghii, H. finisterrae Lauterb., H. macrostachya Lauterb. and H. neglecta Diels ex Sleumer are the only New Guinean Helicia species recorded as having swollen, hollow twigs which are sometimes inhabitated by ants.""",,Swollen hollow stems domatia,Moderate,
Helicia neglecta Diels ex Sleumer,Proteaceae,"Foreman (1998): ""Helicia versteeghii, H. finisterrae Lauterb., H. macrostachya Lauterb. and H. neglecta Diels ex Sleumer are the only New Guinean Helicia species recorded as having swollen, hollow twigs which are sometimes inhabitated by ants.""",,Swollen hollow stems domatia,Moderate,
Helicia versteeghii Foreman,Proteaceae,"Foreman (1998): ""Helicia versteeghii, H. finisterrae Lauterb., H. macrostachya Lauterb. and H. neglecta Diels ex Sleumer are the only New Guinean Helicia species recorded as having swollen, hollow twigs which are sometimes inhabitated by ants.""",Papua New Guinea,Swollen hollow stems domatia,Moderate,
Henriettella cuneata (Standl.) Gleason (=Henriettea cuneata),Melastomataceae,Michelangeli (2010),Neotropics,Leaf domatia - leaf pouch at the base of the leaf blade,High,
Hirtella dorvalii Prance,Chrysobalanaceae,Prance (1972),Neotropics,Leaf domatia,High,
Hirtella duckei Huber,Chrysobalanaceae,Prance (1972),Neotropics,Leaf domatia,High,
Hirtella guainiae Spruce ex Hook.f.,Chrysobalanaceae,Prance (1972),Neotropics,Leaf domatia,High,
Hirtella myrmecophila Pilg.,Chrysobalanaceae,Dattillo et al. (2013); Prance (1972),Neotropics,Leaf domatia,High,
Hirtella physophora Mart. & Zucc.,Chrysobalanaceae,Dattilo et al. (2013); Prance (1972),Neotropics,Leaf domatia,High,
Hirtella revillae Prance,Chrysobalanaceae,McKey and Davidson (1993),Neotropics,Leaf domatia,High,
Hirtella vesiculosa Suess.,Chrysobalanaceae,Prance (1972),Neotropics,Leaf domatia,High,
"Hoffmannia vesiculifera Standl. (H. kirkbridei and H. morii are synonyms and are reported by Jolivet (1996) to have smaller pouches, pointing to intraspecific variation)",Rubiaceae,Windsor and Jolivet (1996); Jolivet (1996),Panama,Leaf domatia - leaf pouch on petiole,High,
Hoya darwinii Loher,Apocynaceae,Wanntorp et al. (2006),Papua New Guinea,Leaf domatia - leaf pouch,High,
Hoya imbricata Decne.,Apocynaceae,Jolivet (1996),Philippines,External domatia formed by the leaves pressed against the host tree,High,
Hoya mitrata Kerr,Apocynaceae,Kaufmann (2002); Moog et al. (2003),SE Asia - Malaysia,External domatia formed by the leaves pressed against the host tree,High,
Humboldtia brunonis Wall.,Fabaceae: Caesalpinioideae,Dev et al. (2010),"India, Western Ghats",Stem domatia - swollen hollow twigs,High,
Humboldtia decurrens Oliv.,Fabaceae: Caesalpinioideae,Dev et al. (2010),India,Stem domatia - swollen hollow twigs,High,
Humboldtia laurifolia M.Vahl,Fabaceae: Caesalpinioideae,"Bower (1887); Schimper (1903); Escherich (1906, 1911); Ridley (1910); Wheeler (1910); Jolivet (1996); Kronbein et al. (1999); Dev et al. (2010);",Sri Lanka,Stem domatia - swollen hollow twigs,High,
Hydnophytum acuminicalyx Jebb & C. R. Huxley,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum albertisii Becc.,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum cordifolium Valeton,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum ferrugineum P. I. Forst.,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum formicarum Jack,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum grandifolium Valeton,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum hellwigii Warb.,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum heterophyllum Merr. & L. M. Perry,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum kebarense Jebb & C. R. Huxley,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum lauterbachii Valeton,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum linearifolium Valeton,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum lucidulum Valeton,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum magnifolium Merr. & L. M. Perry,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum mayuense Jebb & C. R. Huxley,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum microphyllum Becc.,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum morotaiense Jebb & C. R. Huxley,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum moseleyanum Becc.,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum multituberosum Jebb & C. R. Huxley,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum orichalcum Jebb & C. R. Huxley,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum ovatum Miq.,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum petiolatum Becc. var. petiolatum,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
"Hydnophytum puffii Low, Sugau & Wong",Rubiaceae,Low et al. (2016); Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum radicans Becc.,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum ramispinum Merr. & L. M. Perry,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum spathulatum Valeton,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum terrestris Jebb & C. R. Huxley,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum tetrapterum Becc.,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum tortuosum Becc.,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Hydnophytum trichomanes Jebb & C. R. Huxley,Rubiaceae,Jebb and Huxley (2019),Australasia,"Modified hypocotyl, swollen with a network of plant-made galleries",High,
Ixora hippoperifera Bremek.,Rubiaceae,McKey and Davidson (1993),"Tropical Africa, Central forest block",Leaf domatia - leaf margins curl downward,High,
Kibara archboldiana A.C.Sm.,Monimiaceae,Philipson (1985),S. Papua New Guinea,Stem domatia - expanded at the node and with slits,High,
Kibara carrii Philipson,Monimiaceae,Philipson (1985),Malaysia Central Province,Stem domatia - expanded at the node and with slits,High,
Kibara ferox Philipson,Monimiaceae,Philipson (1985),E. Papua New Guinea,Stem domatia - expanded at the node and with slits,High,
Kibara formicarum Becc.,Monimiaceae,Beccari (1877); Bequaert (1922); Jolivet (1996),"SE Asia, Malaysia",Stem domatia - expanded at the node and with slits,High,
Kibara latifolia Philipson,Monimiaceae,Philipson (1985),Moluccas,Stem domatia - expanded at the node and with slits,High,
Korthalsia angustifolia Blume,Arecaceae,"Beccari (1884-6); Emery (1888); Forel (1902); Ridley (1907, 1910), Shelford (1916); Bequaert (1922); Wettstein (1924); Jolivet (1996)",SE Asia,Stipular domatia - ocrea (fused stipules around the stem) swollen,High,
Korthalsia chab Becc.,Arecaceae,Huth (1886),SE Asia,Stipular domatia - ocrea (fused stipules around the stem) swollen,High,
Korthalsia echinometra Becc.,Arecaceae,Moog et al. (2003),SE Asia - Malaysia,Stipular domatia - ocrea (fused stipules around the stem) swollen,High,
Korthalsia hispida Becc.,Arecaceae,Moog et al. (2003),SE Asia - Malaysia,"Stipular domatia - ocrea (fused stipules around the stem) elongated, tube-like ocreas diverging from the stem",High,
Korthalsia horrida Becc.,Arecaceae,Huth (1886),SE Asia,Stipular domatia - ocrea (fused stipules around the stem) swollen,High,
Korthalsia robusta Blume,Arecaceae,Mattes et al. (1998),,Stipular domatia - ocrea (fused stipules around the stem) swollen,High,
Korthalsia rostrata Blume,Arecaceae,"Beccari (1884); (Ridley (1910; as K. scaphigera, now synonym of K. rostrata)Jolivet (1996); Moog et al. (2003)",SE Asia - Malaysia,Stipular domatia - ocrea (fused stipules around the stem) swollen,High,
Korthalsia scortechinii Becc.,Arecaceae,Moog et al. (2003); Jolivet (1996),SE Asia - Malaysia,Stipular domatia - ocrea (fused stipules around the stem) swollen,High,
Lecanopteris balgooyi Hennipman,Polypodiaceae,Haufler et al. (2003),Sulawesi (Celebes),Stem domatia - hollow rhizome,High,
Lecanopteris carnosa (Reinw.) Blume,Polypodiaceae,Haufler et al. (2003),Sulawesi (Celebes),Stem domatia - hollow rhizome,High,
Lecanopteris celebica Hennipman,Polypodiaceae,Haufler et al. (2003),Sulawesi (Celebes),Stem domatia - hollow rhizome,High,
Lecanopteris crustacea Copel.,Polypodiaceae,Haufler et al. (2003),Western Malesia,Stem domatia - hollow rhizome,High,
Lecanopteris curtisii Baker,Polypodiaceae,Haufler et al. (2003),SE Asia,Stem domatia - hollow rhizome,High,
Lecanopteris deparioides (Ces.) Baker,Polypodiaceae,Haufler et al. (2003),"Java, Western Malesia, Philippines",Stem domatia - hollow rhizome,High,
Lecanopteris holttumii Hennipman,Polypodiaceae,Haufler et al. (2003),SE Asia,Stem domatia - hollow rhizome,High,
Lecanopteris lomarioides (Kunze ex Mett.) Copel.,Polypodiaceae,Haufler et al. (2003),"Sulawesi (Celebes), Philippines",Stem domatia - hollow rhizome,High,
Lecanopteris luzonensis Hennipman,Polypodiaceae,Haufler et al. (2003),Philippines,Stem domatia - hollow rhizome,High,
Lecanopteris mirabilis (C. Chr.) Copel.,Polypodiaceae,Haufler et al. (2003),New Guinea and Moluccas,External domatia formed by the modified flattened stem pressed against the host tree,High,
Lecanopteris pumila Blume,Polypodiaceae,Haufler et al. (2003),Western Malesia,Stem domatia - hollow rhizome,High,
Lecanopteris sinuosa (Hook.) Copel.,Polypodiaceae,Janzen (1974); Jolivet (1996); Haufler et al. (2003),"Western Malesia, Sulawesi, Philippines, New Guinea and Moluccas, also Indochina and Vanuatu",Stem domatia - hollow rhizome,High,
Lecanopteris spinosa Jermy & Walker,Polypodiaceae,Haufler et al. (2003),Sulawesi (Celebes),Stem domatia - hollow rhizome,High,
Leonardoxa africana (Baill.) Aubrév. subsp. africana; subsp. rumpiensis and subsp. letouzeyi,Fabaceae-Caesalpinioideae,Chenuil and McKey (1996); McKey (2000),Africa,Stem domatia - swollen hollow twigs,High,
Lepisanthes alata (Blume) Leenh.,Sapindaceae,Moog et al. (2003),SE Asia - Malaysia,Leaf domatia - pseudostipules -- pair of basal leaflets reflexed and clasping the stem,High,
Lepisanthes amoena (Hassk.) Leenh.,Sapindaceae,Moog et al. (2003),SE Asia - Malaysia,Leaf domatia - pseudostipules -- pair of basal leaflets reflexed and clasping the stem,High,
Leptactina mannii Hook.f.,Rubiaceae,Breteler and Nzabi (1995),Gabon,Stipular domatia - large recurved stipules forming pouches,Moderate,
Leptospermum polygalifolium subsp. polygalifolium (=Leptospermum flavescens Smith),Myrtaceae,Weir and Kew (1985); Moog et al. (2003); Jolivet (1996),SE Asia - Malaysia,Stem domatia - hollow stem,Moderate,The association seems very strong but the structure of the domatia has not been well studied
Luvunga sp.,Rutaceae,"Agosti et al. (1999): the evidence is that it host a plant-ant species, but more evidence is needed","SE Asia, Pahang, Fraser's hill, 800m",Stem but no observation (ant study),Moderate,
Macaranga aëtheadenia Airy Shaw,Euphorbiaceae,Fiala and Maschwitz (1992); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga angulata S.J.Davies,Euphorbiaceae,Davies (1999 - Kew Bulletin); Davies (2001),Sabah,Stem domatia (trunk),High,
Macaranga bancana (Miq.) Müll.Arg.,Euphorbiaceae,Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga beccariana Merr.,Euphorbiaceae,Fiala and Maschwitz (1992); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga caladiifolia Becc.,Euphorbiaceae,Fiala and Maschwitz (1992); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga calcicola Airy Shaw,Euphorbiaceae,Fiala and Maschwitz (1992); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga constricta Whitemore & Airy Shaw,Euphorbiaceae,Fiala and Maschwitz (1992); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga glandibracteolata S.J.Davies,Euphorbiaceae,Davies (1999 - Kew Bulletin); Davies (2001),Sabah,Stem domatia (trunk),High,
Macaranga griffithiana Müll.Arg.,Euphorbiaceae,Davies (2001),Malaya,Stem domatia (trunk),High,
Macaranga havilandii Airy Shaw,Euphorbiaceae,Fiala and Maschwitz (1992); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga hosei King ex. Hk. Fil.,Euphorbiaceae,Fiala and Maschwitz (1992); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga hullettii King ex Hook.f.,Euphorbiaceae,Fiala and Maschwitz (1992); Moog et al (2003); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga hypoleuca Muell. Arg.,Euphorbiaceae,Fiala and Maschwitz (1992); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga indistincta Whitmore,Euphorbiaceae,Fiala and Maschwitz (1992); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga kingii Hook. f.,Euphorbiaceae,Fiala and Maschwitz (1992); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga lamellata Whitmore,Euphorbiaceae,Fiala and Maschwitz (1992); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga maingayi (Miq.) Müll.Arg.,Euphorbiaceae,Bake and So (1934),SE Asia,Stem domatia (trunk),High,
Macaranga motleyana Muell. Arg.,Euphorbiaceae,Fiala and Maschwitz (1992); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga pearsonii Merr.,Euphorbiaceae,Fiala and Maschwitz (1992); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga petanostyla Airy Shaw,Euphorbiaceae,Fiala and Maschwitz (1992); Davies (2001),Malaysia,Stem domatia (trunk),High,
Macaranga pruinosa (Miq.) Muell. Arg.,Euphorbiaceae,Fiala and Maschwitz (1992); Davies (2001),Malaysia,Stem domatia (trunk),High,
