"","Phy","Exotic_status","total.area"
"118","Lasius_productus","Intercepted",36261.8317
"119","Lasius_sakagamii","Intercepted",36261.8317
"120","Lepisiota_capensis","Intercepted",35607.34397
"121","Lepisiota_frauenfeldi","Intercepted",318961.6037
"122","Lepisiota_incisa","Intercepted",318961.6037
"123","Lepisiota_obtusa","Intercepted",35607.34397
"124","Leptomyrmex_wiburdi","Intercepted",268475.548
"125","Linepithema_dispertitum","Intercepted",35607.34397
"126","Linepithema_humile","Intercepted",1650354.89909
"127","Linepithema_iniquum","Intercepted",479334.49609
"128","Liometopum_microcephalum","Intercepted",268475.548
"129","Mayriella_spinosior","Intercepted",268475.548
"130","Melophorus_hirsutus","Intercepted",268475.548
"131","Meranoplus_bicolor","Intercepted",387980.124
"132","Meranoplus_castaneus","Intercepted",35607.34397
"133","Monomorium_dichroum","Intercepted",35607.34397
"134","Monomorium_floricola","Intercepted",1955472.46506
"135","Monomorium_indicum","Intercepted",268475.548
"136","Monomorium_minimum","Intercepted",52261.78602
"137","Monomorium_monomorium","Intercepted",268475.548
"138","Monomorium_pharaonis","Intercepted",454464.2708
"139","Monomorium_salomonis","Intercepted",68059.68823
"140","Myrmecia_gulosa","Intercepted",268475.548
"141","Myrmecia_nigrocincta","Intercepted",268475.548
"142","Myrmica_punctiventris","Intercepted",39.41308581
"143","Myrmica_rubra","Intercepted",268475.548
"144","Myrmica_rubra neolaevinodis","Intercepted",136998.277
"145","Myrmica_ruginodis","Intercepted",268475.548
"146","Myrmicaria_natalensis","Intercepted",35607.34397
"147","Neoponera_theresiae","Intercepted",244186.791
"148","Neoponera_unidentata","Intercepted",35607.34397
"149","Nesomyrmex_echinatinodis","Intercepted",35607.34397
"150","Notoncus_ectatommoides","Intercepted",268475.548
"151","Nylanderia_bourbonica","Intercepted",2212033.58157
"152","Nylanderia_flavipes","Intercepted",409664.60502
"153","Nylanderia_guatemalensis","Intercepted",35607.34397
"154","Nylanderia_parvula","Intercepted",16654.44205
"155","Nylanderia_sharpii","Intercepted",16654.44205
"156","Nylanderia_steinheili","Intercepted",35607.34397
"157","Nylanderia_vaga","Intercepted",35607.34397
"158","Nylanderia_vividula","Intercepted",435877.57663
"159","Ochetellus_glaber","Intercepted",35607.34397
"160","Odontomachus_brunneus","Intercepted",35607.34397
