Species,introduced,native,num_introduced,total_area_introduced,total_area_native,lat_native,tribe,genus,subfamily,tribe_ncbi,fixer,abs_lat_native,woody,annual,uses_num_uses
Acacia_aulacocarpa,0,1,0,0,9.34E+12,-8.51803986,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,8.51803986,1,0,1
Acacia_auriculiformis,1,1,23,1.12E+13,4.09E+12,-5.85860106,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,5.85860106,1,0,4
Acacia_bahiensis,0,1,0,0,8.47E+12,-10.77227947,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,10.77227947,1,0,0
Acacia_baileyana,1,1,13,1.07E+13,6.27E+12,-26.80596132,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,26.80596132,1,0,2
Acacia_benthamii,0,1,0,0,2.53E+12,-25.46607155,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.46607155,1,0,0
Acacia_berlandieri,0,1,0,0,7.51E+11,25.31401375,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.31401375,1,0,0
Acacia_bidentata,0,1,0,0,2.53E+12,-25.46607155,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.46607155,1,0,0
Acacia_biflora,0,1,0,0,2.53E+12,-25.46607155,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.46607155,1,0,0
Acacia_binervata,1,1,2,2.68E+11,2.53E+12,-25.79163463,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.79163463,1,0,2
Acacia_binervia,1,1,1,5.82E+11,1.03E+12,-33.25127933,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,33.25127933,1,0,0
Acacia_bivenosa,1,1,1,3.42E+11,5.61E+12,-23.16077529,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,23.16077529,1,0,1
Acacia_blakei,0,1,0,0,2.53E+12,-25.79163463,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.79163463,1,0,0
Acacia_blakelyi,0,1,0,0,2.53E+12,-25.46607155,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.46607155,1,0,0
Acacia_bonariensis,0,1,0,0,4.27E+12,-26.94705186,Acacieae,Acacia,Caesalpinioideae,Acacieae,0,26.94705186,1,0,0
Acacia_borleae,0,1,0,0,3.86E+12,-21.72947512,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,21.72947512,1,0,0
Acacia_brachybotrya,1,1,1,1.15E+11,2.01E+12,-31.74043124,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,31.74043124,1,0,0
Acacia_brachystachya,0,1,0,0,7.39E+12,-25.1628483,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.1628483,1,0,0
Acacia_brassii,0,1,0,0,1.73E+12,-22.57378083,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,22.57378083,1,0,0
Acacia_brownii,0,1,0,0,2.76E+12,-26.80239184,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,26.80239184,1,0,0
Acacia_brumalis,0,1,0,0,2.53E+12,-25.46607155,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.46607155,1,0,0
Acacia_burkei,1,1,1,3.13E+11,4.44E+12,-22.42811457,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,22.42811457,1,0,0
Acacia_buxifolia,1,1,1,1.89E+11,2.76E+12,-26.81043334,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,26.81043334,1,0,1
Acacia_bynoeana,0,1,0,0,8.02E+11,-32.17021086,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,32.17021086,1,0,0
Acacia_caesia,0,1,0,0,8.29E+12,19.25459014,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,19.25459014,1,0,3
Acacia_caffra,1,1,1,1.89E+11,4.05E+12,-21.71309195,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,21.71309195,1,0,0
Acacia_calamifolia,1,1,1,1284364074,2.01E+12,-31.74043124,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,31.74043124,1,0,1
Acacia_cambagei,0,1,0,0,4.86E+12,-25.00497902,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.00497902,1,0,1
Acacia_cana,0,1,0,0,2.53E+12,-25.79163463,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.79163463,1,0,0
Acacia_cangaiensis,0,1,0,0,8.02E+11,-32.17021086,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,32.17021086,1,0,0
Acacia_cardiophylla,1,1,2,2.68E+11,8.02E+11,-32.17021086,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,32.17021086,1,0,1
Acacia_catechu,1,1,5,2.29E+12,8.61E+12,22.36270805,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,22.36270805,1,0,4
Acacia_catenulata,0,1,0,0,3.08E+12,-21.20529859,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,21.20529859,1,0,0
Acacia_caven,0,1,0,0,5.01E+12,-27.21964295,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,27.21964295,1,0,0
Acacia_celastrifolia,0,1,0,0,2.53E+12,-25.46607155,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.46607155,1,0,1
Acacia_chariessa,0,1,0,0,3.90E+11,-19.00000691,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,19.00000691,1,0,0
Acacia_chrysotricha,0,1,0,0,8.02E+11,-32.17021086,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,32.17021086,1,0,1
Acacia_chundra,1,1,1,2645044536,5.42E+12,17.7198361,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,17.7198361,1,0,3
Acacia_cincinnata,0,1,0,0,1.73E+12,-22.57378083,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,22.57378083,1,0,1
Acacia_citrinoviridis,0,1,0,0,2.53E+12,-25.46607155,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.46607155,1,0,0
Acacia_cochliacantha,0,1,0,0,3.03E+11,18.81953829,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,18.81953829,1,0,0
Acacia_cognata,0,1,0,0,1.03E+12,-33.25127933,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,33.25127933,1,0,1
Acacia_colei,0,1,0,0,5.61E+12,-23.16077529,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,23.16077529,1,0,3
Acacia_colletioides,0,1,0,0,4.54E+12,-28.33581319,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,28.33581319,1,0,0
Acacia_collinsii,0,1,0,0,1.79E+11,12.02784754,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,12.02784754,1,0,0
Acacia_complanata,0,1,0,0,2.53E+12,-25.79163463,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.79163463,1,0,1
Acacia_concurrens,0,1,0,0,2.53E+12,-25.79163463,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.79163463,1,0,1
Acacia_confusa,1,1,13,3.58E+12,1.25E+12,21.89229771,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,21.89229771,1,0,3
Acacia_constricta,0,1,0,0,1.77E+12,26.54462355,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,26.54462355,1,0,0
Acacia_coriacea,0,1,0,0,7.39E+12,-25.1628483,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.1628483,1,0,0
Acacia_cornigera,1,1,5,1.34E+12,2.40E+12,17.79278687,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,17.79278687,1,0,1
Acacia_cowleana,0,1,0,0,6.41E+12,-24.36798012,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,24.36798012,1,0,0
Acacia_crassicarpa,0,1,0,0,2.13E+12,-14.62126575,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,14.62126575,1,0,1
Acacia_cultriformis,1,1,13,2.08E+13,2.53E+12,-25.79163463,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.79163463,1,0,1
Acacia_cuthbertsonii,0,1,0,0,3.88E+12,-23.4204532,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,23.4204532,1,0,0
Acacia_cyclops,1,1,5,5.10E+12,3.51E+12,-26.80243548,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,26.80243548,1,0,4
Acacia_cyperophylla,0,1,0,0,6.59E+12,-24.24846479,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,24.24846479,1,0,0
Acacia_dangarensis,0,1,0,0,8.02E+11,-32.17021086,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,32.17021086,1,0,0
Acacia_davyi,0,1,0,0,3.47E+12,-21.47861499,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,21.47861499,1,0,0
Acacia_dealbata,1,1,28,1.45E+13,4.61E+12,-35.13929898,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,35.13929898,1,0,6
Acacia_deanei,0,1,0,0,3.16E+12,-16.73557126,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,16.73557126,1,0,1
Acacia_decora,1,1,1,1.30E+11,2.76E+12,-26.80239184,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,26.80239184,1,0,0
Acacia_decurrens,1,1,19,1.00E+13,6.40E+12,-17.04729784,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,17.04729784,1,0,4
Acacia_dictyophleba,0,1,0,0,6.59E+12,-24.24846479,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,24.24846479,1,0,0
Acacia_difficilis,0,1,0,0,5.61E+12,-23.16077529,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,23.16077529,1,0,0
Acacia_dimidiata,0,1,0,0,3.08E+12,-21.20529859,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,21.20529859,1,0,0
Acacia_dolichostachya,0,1,0,0,2.09E+12,19.95541934,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,19.95541934,1,0,0
Acacia_doratoxylon,1,1,2,2.68E+11,1.03E+12,-33.25653662,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,33.25653662,1,0,0
Acacia_drummondii,0,1,0,0,2.53E+12,-25.46607155,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.46607155,1,0,0
Acacia_dudgeoni,0,1,0,0,5.01E+12,13.21298077,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,13.21298077,1,0,0
Acacia_dunnii,0,1,0,0,3.88E+12,-23.4204532,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,23.4204532,1,0,0
Acacia_ehrenbergiana,0,1,0,0,1.65E+13,19.98971855,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,19.98971855,1,0,0
Acacia_elata,1,1,11,9.68E+12,3.56E+12,-29.35867544,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,29.35867544,1,0,1
Acacia_elatior,0,1,0,0,3.33E+12,10.7103668,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,10.7103668,1,0,0
Acacia_elongata,0,1,0,0,8.02E+11,-32.17021086,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,32.17021086,1,0,0
Acacia_eremaea,0,1,0,0,2.53E+12,-25.46607155,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.46607155,1,0,0
Acacia_ericifolia,0,1,0,0,2.53E+12,-25.46607155,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.46607155,1,0,0
Acacia_erinacea,0,1,0,0,3.51E+12,-26.80243548,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,26.80243548,1,0,0
Acacia_eriocarpa,0,1,0,0,1.93E+12,-16.15204272,Acacieae,Acacia,Caesalpinioideae,Acacieae,0,16.15204272,1,0,0
Acacia_erubescens,0,1,0,0,1.06E+13,-18.58533779,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,18.58533779,1,0,0
Acacia_estrophiolata,0,1,0,0,4.86E+12,-24.83278022,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,24.83278022,1,0,1
Acacia_etbaica,0,1,0,0,6.05E+12,7.23235298,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,7.23235298,1,0,0
Acacia_excelsa,0,1,0,0,2.53E+12,-25.79163463,Acacieae,Acacia,Caesalpinioideae,Acacieae,0,25.79163463,1,0,2
Acacia_extensa,0,1,0,0,2.53E+12,-25.46607155,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.46607155,1,0,0
Acacia_exuvialis,0,1,0,0,3.06E+12,-22.24326179,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,22.24326179,1,0,0
Acacia_falcata,1,1,2,2.23E+12,2.66E+12,-16.5401345,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,16.5401345,1,0,1
Acacia_falciformis,1,1,2,2.68E+11,2.76E+12,-26.81043334,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,26.81043334,1,0,2
Acacia_farnesiana,1,1,48,3.76E+13,1.91E+13,10.47537246,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,10.47537246,1,0,9
Acacia_filicifolia,1,1,1,1.15E+11,2.53E+12,-25.79163463,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.79163463,1,0,1
Acacia_filifolia,0,1,0,0,2.53E+12,-25.46607155,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.46607155,1,0,0
Acacia_fimbriata,1,1,4,5.61E+12,2.53E+12,-25.79163463,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,25.79163463,1,0,1
Acacia_fleckii,0,1,0,0,6.44E+12,-21.23507238,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,21.23507238,1,0,0
Acacia_flexifolia,0,1,0,0,2.76E+12,-26.80239184,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,26.80239184,1,0,0
Acacia_floribunda,1,1,4,2.30E+12,3.49E+12,-7.63227278,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,7.63227278,1,0,1
Acacia_fulva,0,1,0,0,8.02E+11,-32.17021086,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,32.17021086,1,0,0
Acacia_galpinii,0,1,0,0,6.24E+12,-20.01409488,Acacieae,Acacia,Caesalpinioideae,Acacieae,1,20.01409488,1,0,0
