Phy,n_introduced_ranges
Linepithema_angulatum,2
Linepithema_dispertitum,1
Linepithema_humile,49
Linepithema_iniquum,9
Linepithema_leucomelas,1
Linepithema_micans,1
Liometopum_microcephalum,1
Lioponera_longitarsus,7
Mayriella_abstinens,1
Mayriella_spinosior,1
Melophorus_hirsutus,1
Meranoplus_bicolor,2
Meranoplus_castaneus,1
Meranoplus_minor,1
Mesoponera_testacea,2
Messor_capitatus,1
Messor_lusitanicus,1
Messor_minor,1
Messor_structor,3
Monomorium_andrei,1
Monomorium_atomum,1
Monomorium_atomum cooperi,1
Monomorium_bicolor,6
Monomorium_carbonarium,17
Monomorium_clavicorne,1
Monomorium_dichroum,6
Monomorium_exiguum,2
Monomorium_fieldi,1
Monomorium_floricola,83
Monomorium_holothir,1
Monomorium_indicum,3
Monomorium_intrudens,5
Monomorium_liliuokalanii,12
Monomorium_minimum,2
Monomorium_monomorium,23
Monomorium_pharaonis,81
Monomorium_salomonis,9
Monomorium_subopacum,12
Monomorium_sydneyense,1
Monomorium_trageri,3
Myrmecia_brevinoda,1
Myrmecia_gulosa,1
Myrmecia_nigrocincta,1
Myrmelachista_ramulorum,1
Myrmica_kotokui,1
Myrmica_lobulicornis,1
Myrmica_punctiventris,1
Myrmica_rubra,4
Myrmica_rubra neolaevinodis,1
Myrmica_ruginodis,1
Myrmica_sabuleti,1
Myrmica_scabrinodis,1
Myrmica_specioides,1
Myrmicaria_natalensis,1
Myrmoteras_indicum,1
Neoponera_theresiae,1
Neoponera_unidentata,2
Nesomyrmex_echinatinodis,1
Notoncus_ectatommoides,1
Nylanderia_amia,11
Nylanderia_bourbonica,47
Nylanderia_braueri,1
Nylanderia_braueri donisthorpei,1
Nylanderia_clandestina,3
Nylanderia_flavipes,9
Nylanderia_fulva,15
Nylanderia_glabrior,3
Nylanderia_guatemalensis,13
Nylanderia_guatemalensis itinerans,4
Nylanderia_jaegerskioeldi,13
Nylanderia_parvula,1
Nylanderia_pubens,8
Nylanderia_sharpii,1
Nylanderia_steinheili,12
Nylanderia_tasmaniensis,1
Nylanderia_vaga,34
Nylanderia_vividula,26
Ochetellus_glaber,8
Ochetellus_glaber clarithorax,1
Ochetellus_vinsoni,1
Odontomachus_bauri,1
Odontomachus_brunneus,1
Odontomachus_haematodus,10
Odontomachus_monticola,1
Odontomachus_ruginodis,5
Odontomachus_simillimus,13
Odontomachus_troglodytes,2
Oecophylla_longinoda,1
Oecophylla_smaragdina,4
Ooceraea_biroi,27
Orectognathus_antennatus,1
Pachycondyla_harpax,3
Pachycondyla_solitaria,1
Paraparatrechina_minutula,4
Parasyscia_sylvicola,1
Paratrechina_longicornis,101
Parvaponera_darwinii,2
Pheidole_anastasii,6
Pheidole_barbata,1
Pheidole_bicarinata,1
Pheidole_bilimeki,5
Pheidole_dentata,1
Pheidole_dossena,1
Pheidole_exigua,1
Pheidole_fervens,34
Pheidole_fervida,1
Pheidole_flavens,4
Pheidole_gertrudae,1
Pheidole_guineensis,2
Pheidole_harrisonfordi,1
Pheidole_hyatti,1
Pheidole_indica,46
Pheidole_lamellinoda,1
Pheidole_longiscapa,1
Pheidole_megacephala,94
Pheidole_moerens,2
Pheidole_navigans,7
Pheidole_nodus,4
Pheidole_obscurithorax,1
Pheidole_oceanica,1
Pheidole_pallidula,4
Pheidole_parva,8
Pheidole_proxima,1
Pheidole_pubiventris,1
Pheidole_punctatissima,6
Pheidole_punctulata,1
Pheidole_radoszkowskii,1
Pheidole_rugosula,1
Pheidole_sculpturata welgelegenensis,1
Pheidole_sexspinosa,1
Pheidole_sospes,1
Pheidole_subarmata,1
Pheidole_susannae,2
Pheidole_umbonata,1
Pheidole_vafra,1
Pheidole_variabilis,1
Pheidole_vigilans,4
Plagiolepis_alluaudi,51
Plagiolepis_exigua,6
Plagiolepis_pallescens,2
Plagiolepis_pygmaea,2
Plagiolepis_schmitzii,2
Platythyrea_parallela,7
Platythyrea_punctata,2
Pogonomyrmex_occidentalis,1
Polyrhachis_ammon,1
Polyrhachis_atropos,1
Polyrhachis_dives,3
Polyrhachis_erato,1
Polyrhachis_femorata,2
Polyrhachis_hector,1
Polyrhachis_nigrita,1
Polyrhachis_rastellata,1
Polyrhachis_rufifemur,1
Polyrhachis_saevissima argentea,1
Polyrhachis_semiaurata,1
Polyrhachis_thrinax,1
Polyrhachis_trapezoidea,1
Polyrhachis_viehmeyeri,1
Ponera_bableti,3
Ponera_coarctata,2
Ponera_exotica,3
Ponera_leae,3
Ponera_loi,3
Ponera_swezeyi,10
Ponera_testacea,1
Prenolepis_imparis,2
Prenolepis_melanogaster,1
Prenolepis_nitens,2
Prionopelta_antillana,2
Prionopelta_kraepelini,5
Pristomyrmex_punctatus,1
Pseudomyrmex_cubaensis,1
Pseudomyrmex_elongatus,1
Pseudomyrmex_gracilis,10
Pseudomyrmex_major,1
Pseudoponera_stigma,21
Rhytidoponera_aspera,1
Rhytidoponera_chalybaea,2
Rhytidoponera_mayri,1
Rhytidoponera_metallica,2
Rhytidoponera_victoriae,2
Rogeria_curvipubens,1
Rogeria_exsulans,1
Rogeria_stigmatica,1
Solenopsis_abdita,2
Solenopsis_aurea,1
Solenopsis_fugax,1
Solenopsis_gayi,1
Solenopsis_geminata,71
Solenopsis_geminata micans,1
Solenopsis_globularia,9
Solenopsis_helena,1
Solenopsis_invicta,26
Solenopsis_macdonaghi,1
Solenopsis_molesta,1
Solenopsis_orbula,1
Solenopsis_papuana,3
Solenopsis_picea,2
Solenopsis_pollux,1
