"","Phy","Exotic_status","total.area"
"118","Messor_capitatus","Exotic",2876308.6923
"119","Messor_lusitanicus","Exotic",403453.0567
"120","Messor_minor","Exotic",7482.254468
"121","Messor_structor","Exotic",1403002.9203233
"122","Monomorium_andrei","Exotic",5092.681198
"123","Monomorium_atomum","Exotic",3829.644984
"124","Monomorium_atomum cooperi","Exotic",998732.739
"125","Monomorium_bicolor","Exotic",1171676.914759
"126","Monomorium_carbonarium","Exotic",5930709.570843
"127","Monomorium_clavicorne","Exotic",2026646.16859
"128","Monomorium_dichroum","Exotic",672302.120024
"129","Monomorium_exiguum","Exotic",8922.326182
"130","Monomorium_fieldi","Exotic",268475.548
"131","Monomorium_floricola","Exotic",29518039.592139
"132","Monomorium_holothir","Exotic",1955714.508
"133","Monomorium_indicum","Exotic",87586.10264
"134","Monomorium_intrudens","Exotic",2718297.8312901
"135","Monomorium_liliuokalanii","Exotic",72563.79074295
"136","Monomorium_monomorium","Exotic",9117799.24032201
"137","Monomorium_pharaonis","Exotic",37118173.7543142
"138","Monomorium_salomonis","Exotic",1636619.29323157
"139","Monomorium_subopacum","Exotic",3447111.983412
"140","Monomorium_sydneyense","Exotic",268475.548
"141","Monomorium_trageri","Exotic",674969.0881
"142","Myrmecia_brevinoda","Exotic",268475.548
"143","Myrmelachista_ramulorum","Exotic",147120.3924
"144","Myrmica_kotokui","Exotic",1620.740403
"145","Myrmica_lobulicornis","Exotic",7482.254468
"146","Myrmica_rubra","Exotic",4536030.840605
"147","Myrmica_scabrinodis","Exotic",945150.2538
"148","Myrmica_specioides","Exotic",1119448.3915
"149","Myrmoteras_indicum","Exotic",70931.66059
"150","Nylanderia_amia","Exotic",159207.94557687
"151","Nylanderia_bourbonica","Exotic",5383218.97017918
"152","Nylanderia_clandestina","Exotic",730.9946935
"153","Nylanderia_flavipes","Exotic",3428394.1348914
"154","Nylanderia_fulva","Exotic",7185940.64791
"155","Nylanderia_glabrior","Exotic",272989.642633
"156","Nylanderia_guatemalensis","Exotic",404164.12919906
"157","Nylanderia_guatemalensis itinerans","Exotic",96084.331938
"158","Nylanderia_jaegerskioeldi","Exotic",6567759.17929012
"159","Nylanderia_pubens","Exotic",478232.531243
"160","Nylanderia_steinheili","Exotic",687832.262794
"161","Nylanderia_tasmaniensis","Exotic",268475.548
"162","Nylanderia_vaga","Exotic",1585728.05681168
"163","Nylanderia_vividula","Exotic",13674410.4258056
"164","Ochetellus_glaber","Exotic",1702139.05676516
"165","Ochetellus_glaber clarithorax","Exotic",147120.3924
"166","Ochetellus_vinsoni","Exotic",4576.449391
"167","Odontomachus_bauri","Exotic",7801.23693
"168","Odontomachus_haematodus","Exotic",2797517.019756
"169","Odontomachus_ruginodis","Exotic",582470.38326687
"170","Odontomachus_simillimus","Exotic",402652.68607486
"171","Odontomachus_troglodytes","Exotic",593573.479121
"172","Ooceraea_biroi","Exotic",3866236.71155068
"173","Pachycondyla_harpax","Exotic",171088.359988
"174","Paraparatrechina_minutula","Exotic",20160.3451168
"175","Parasyscia_sylvicola","Exotic",486.231921
"176","Paratrechina_longicornis","Exotic",60116657.8986043
"177","Parvaponera_darwinii","Exotic",27354.5605261
"178","Pheidole_bilimeki","Exotic",7482.254468
