valid_species_name,Phy_all_underscore,total.area.native,LogArea.native,Phy
Camponotus.aberrans,Camponotus_aberrans,4524299.649,6.655551361,Camponotus_aberrans
Camponotus.abjectus,Camponotus_abjectus,1688910.383,6.227606606,Camponotus_abjectus
Camponotus.abrahami,Camponotus_abrahami,1105976.287,6.043745816,Camponotus_abrahami
Camponotus.abscisus,Camponotus_abscisus,1031418.112,6.013434753,Camponotus_abscisus
Camponotus.absquatulator,Camponotus_absquatulator,775043.4236,5.889326036,Camponotus_absquatulator
Camponotus.abunanus,Camponotus_abunanus,2891030.539,6.461052679,Camponotus_abunanus
Camponotus.acutirostris,Camponotus_acutirostris,1835577.938,6.263772829,Camponotus_acutirostris
Camponotus.acvapimensis,Camponotus_acvapimensis,15551493.93,7.191772115,Camponotus_acvapimensis
Camponotus.adami,Camponotus_adami,804893.7533,5.905738557,Camponotus_adami
Camponotus.adenensis,Camponotus_adenensis,6252275.588,6.796038113,Camponotus_adenensis
Camponotus.aegaeus,Camponotus_aegaeus,1395200.307,6.144636563,Camponotus_aegaeus
Camponotus.aegyptiacus,Camponotus_aegyptiacus,16819130.73,7.225803546,Camponotus_aegyptiacus
Camponotus.aeneopilosus,Camponotus_aeneopilosus,5093930.367,6.707053004,Camponotus_aeneopilosus
Camponotus.aequatorialis,Camponotus_aequatorialis,849502.172,5.929164494,Camponotus_aequatorialis
Camponotus.aequitas,Camponotus_aequitas,1609941.122,6.206809994,Camponotus_aequitas
Camponotus.aethiops,Camponotus_aethiops,20944075.87,7.321061202,Camponotus_aethiops
Camponotus.afflatus,Camponotus_afflatus,2830243.139,6.451823746,Camponotus_afflatus
Camponotus.ager,Camponotus_ager,8500111.361,6.929424615,Camponotus_ager
Camponotus.agonius,Camponotus_agonius,3296750.882,6.518086131,Camponotus_agonius
Camponotus.aguilerai,Camponotus_aguilerai,297569.3101,5.473588138,Camponotus_aguilerai
Camponotus.aktaci,Camponotus_aktaci,780642.0371,5.892451934,Camponotus_aktaci
Camponotus.alacer,Camponotus_alacer,44061.19448,4.644056267,Camponotus_alacer
Camponotus.alamaina,Camponotus_alamaina,593087.2472,5.773118586,Camponotus_alamaina
Camponotus.albicoxis,Camponotus_albicoxis,724124.8777,5.859813468,Camponotus_albicoxis
Camponotus.albipes,Camponotus_albipes,66298.46513,4.821503474,Camponotus_albipes
Camponotus.albistramineus,Camponotus_albistramineus,75374.90025,4.87722675,Camponotus_albistramineus
Camponotus.albivillosus,Camponotus_albivillosus,1387270.036,6.142161006,Camponotus_albivillosus
Camponotus.alboannulatus,Camponotus_alboannulatus,4580918.6,6.660952575,Camponotus_alboannulatus
Camponotus.albocinctus,Camponotus_albocinctus,296864.0057,5.472557543,Camponotus_albocinctus
Camponotus.albosparsus,Camponotus_albosparsus,3110753.398,6.492865584,Camponotus_albosparsus
Camponotus.alii,Camponotus_alii,8693284.179,6.939183877,Camponotus_alii
Camponotus.altivagans,Camponotus_altivagans,75374.90025,4.87722675,Camponotus_altivagans
Camponotus.amamianus,Camponotus_amamianus,2262.386136,3.354566731,Camponotus_amamianus
Camponotus.amaurus,Camponotus_amaurus,493663.7919,5.693431275,Camponotus_amaurus
