Phy,Counts
Acacia prominens,9661
Acacia pteridifolia,9636
Acacia pubescens,12184
Acacia pulchella,10203
Acacia pycnantha,9651
Acacia pyrifolia,10162
Acacia redolens,9686
Acacia reficiens,9629
Acacia rehmanniana,9633
Acacia restiacea,9628
Acacia retinodes,9630
Acacia richii,9653
Acacia rigens,9675
Acacia robusta,12762
Acacia rossei,9628
Acacia rostellifera,9628
Acacia rothii,9662
Acacia rovumae,9631
Acacia rubida,9748
Acacia rugata,9645
Acacia sakalava,9708
Acacia salicina,10069
Acacia saligna,10016
Acacia schaffneri,9652
Acacia schottii,9687
Acacia schweinfurthii,9974
Acacia sclerosperma,9642
Acacia senegal,20391
Acacia seyal,9809
Acacia shirleyi,9632
Acacia silvestris,13244
Acacia simsii,9717
Acacia sinuata,9776
Acacia sparsiflora,9644
Acacia spathulifolia,9635
Acacia spectabilis,10709
Acacia spinescens,9685
Acacia spinosissima,9698
Acacia squamata,15408
Acacia stenophylla,9785
Acacia stenoptera,9689
Acacia stipuligera,9628
Acacia stricta,10427
Acacia stuhlmannii,9701
Acacia suaveolens,10593
Acacia subcaerulea,9631
Acacia sulcata,10144
Acacia swazica,9630
Acacia teniana,9631
Acacia tenuispina,9648
Acacia tenuissima,9940
Acacia tephrina,9630
Acacia terminalis,11685
Acacia tetragonocarpa,9628
Acacia tetragonophylla,9628
Acacia thomsonii,9763
Acacia tomentosa,11822
Acacia tortilis,9678
Acacia torulosa,9748
Acacia trachycarpa,9638
Acacia trachyphloia,9631
Acacia translucens,9858
Acacia trineura,9633
Acacia triptera,9633
Acacia tumida,9980
Acacia ulicifolia,9630
Acacia umbellata,10428
Acacia uncifera,9637
Acacia urophylla,10356
Acacia velutina,10495
Acacia verniciflua,9832
Acacia verticillata,10782
Acacia vestita,9977
Acacia victoriae,9928
Acacia villosa,10876
Acacia visco,15325
Acacia volubilis,10294
Acacia welwitschii,9717
Acacia wilhelmiana,9629
Acacia willdenowiana,9630
Acacia xanthophloea,9635
Acacia yirrkallensis,9628
Acacia zanzibarica,9657
Acmispon americanus,3808
Acmispon brachycarpus,19
Acmispon maritimus,986
Acmispon parviflorus,116
Acmispon subpinnatus,13
Acmispon wrangelianus,10
Acosmium bijugum,45
