genus,tribe
Ocymyrmex,Pheidolini
Odontomachus,Ponerini
Odontoponera,Ponerini
Oecophylla,Oecophyllini
Onychomyrmex,Amblyoponini
Ooceraea,NA
Opamyrma,NA
Ophthalmopone,Ponerini
Opisthopsis,Camponotini
Orectognathus,Dacetonini
Overbeckia,Camponotini
Oxyepoecus,Solenopsidini
Oxyopomyrmex,Pheidolini
Pachycondyla,Ponerini
Paltothyreus,Ponerini
Papyrius,Leptomyrmicini
Paramycetophylax,Attini
Paraparatrechina,Lasiini
Paraponera,Paraponerini
Parasyscia,NA
Paratopula,Formicoxenini
Paratrachymyrmex,Attini
Paratrechina,Lasiini
Parvaponera,Ponerini
Patagonomyrmex,Pogonomyrmecini
Perissomyrmex,Myrmecinini
Peronomyrmex,Formicoxenini
Petalomyrmex,Brachymyrmecini
Phalacromyrmex,Phalacromyrmecini
Phasmomyrmex,Camponotini
Phaulomyrma,Leptanillini
Pheidole,Pheidolini
Philidris,Leptomyrmicini
Phrynoponera,Ponerini
Pilotrochus,Phalacromyrmecini
Plagiolepis,Plagiolepidini
Platythyrea,Platythyreini
Plectroctena,Ponerini
Podomyrma,Formicoxenini
Poecilomyrma,Formicoxenini
Pogonomyrmex,Myrmicini
Polyergus,Formicini
Polyrhachis,Camponotini
Ponera,Ponerini
Prenolepis,Lasiini
Prionopelta,Amblyoponini
Pristomyrmex,Myrmecinini
Proatta,Stenammini
Probolomyrmex,Platythyreini
Proceratium,Proceratiini
Procryptocerus,Cephalotini
Proformica,Formicini
Prolasius,Melophorini
Promyopias,Ponerini
Propodilobus,Crematogastrini
Protalaridris,Basicerotini
Protanilla,Anomalomyrmini
Protazteca,NA
Psalidomyrmex,Ponerini
Pseudoatta,Attini
Pseudolasius,Lasiini
Pseudomyrmex,NA
Pseudoneoponera,Ponerini
Pseudonotoncus,Melophorini
Pseudoponera,Ponerini
Rasopone,Ponerini
Ravavy,Bothriomyrmecini
Recurvidris,Pheidologetonini
Rhopalomastix,Melissotarsini
Rhopalothrix,Basicerotini
Rhoptromyrmex,Tetramoriini
Rhytidoponera,Ectatommini
Rogeria,Stenammini
Romblonella,Formicoxenini
Rossomyrmex,Formicini
Rostromyrmex,Stenammini
Rotastruma,Formicoxenini
Royidris,Crematogastrini
Santschiella,Santschiellini
Scyphodon,Leptanillini
Secostruma,Tetramoriini
Sericomyrmex,Attini
Sicilomyrmex,Sicilomyrmecini
Simopelta,Ponerini
Simopone,Cerapachyini
Solenopsis,Solenopsidini
Sphinctomyrmex,Cerapachyini
Stegomyrmex,Stegomyrmecini
Stenamma,Stenammini
Stereomyrmex,Formicoxenini
Stigmacros,Plagiolepidini
Stigmatomma,Amblyoponini
Streblognathus,Ponerini
Strongylognathus,Tetramoriini
Strumigenys,Dacetonini
Syllophopsis,Solenopsidini
Syscia,NA
Talaridris,Basicerotini
Tanipone,NA
Tapinolepis,Plagiolepidini
Tapinoma,Tapinomini
Tatuidris,Agroecomyrmecini
Technomyrmex,Tapinomini
Temnothorax,Crematogastrini
Terataner,Formicoxenini
Teratomyrmex,Lasiini
Tetheamyrma,Stenammini
Tetramorium,Tetramoriini
Tetraponera,NA
Thaumatomyrmex,Thaumatomyrmecini
Trachymyrmex,Attini
Tranopelta,Ochetomyrmecini
Trichomyrmex,Crematogastrini
Tropidomyrmex,Solenopsidini
Turneria,Leptomyrmicini
Typhlomyrmex,Typhlomyrmecini
Tyrannomyrmex,Solenopsidini
Veromessor,Stenammini
Vicinopone,NA
Vitsika,Crematogastrini
Vollenhovia,Metaponini
Vombisidris,Formicoxenini
Wasmannia,Blepharidattini
Xenomyrmex,Metaponini
Xerolitor,Attini
Xymmer,Amblyoponini
Yavnella,Leptanillini
Yunodorylus,NA
Zasphinctus,NA
Zatania,Lasiini
