"Phy","species","RangeY","domY","efnY","n","sum.AM","sum.EM","AM","EM","match"
"Aeschynomene aspera","Aeschynomene aspera",TRUE,FALSE,FALSE,3,2,0,"Y","N",TRUE
"Aeschynomene aspera","Aeschynomene indica",TRUE,FALSE,FALSE,3,2,0,"Y","N",FALSE
"Aeschynomene indica","Aeschynomene indica",TRUE,FALSE,FALSE,5,5,0,"Y","N",TRUE
"Aeschynomene indica","Aeschynomene viscidula",TRUE,FALSE,FALSE,5,5,0,"Y","N",FALSE
"Albizia amara","Albizia amara",TRUE,FALSE,TRUE,3,3,0,"Y","N",TRUE
"Albizia chinensis","Albizia chinensis",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Albizia coriaria","Albizia coriaria",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Albizia gummifera","Albizia gummifera",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Albizia inundata","Albizia inundata",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Albizia julibrissin","Albizia julibrissin",TRUE,FALSE,TRUE,3,3,1,"Y","Y",TRUE
"Albizia kalkora","Albizia kalkora",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Albizia lebbeck","Albizia lebbeck",TRUE,FALSE,TRUE,12,10,0,"Y","N",TRUE
"Albizia lucidior","Albizia lucidior",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Albizia odoratissima","Albizia odoratissima",TRUE,FALSE,FALSE,4,3,0,"Y","N",TRUE
"Albizia procera","Acacia elata",TRUE,FALSE,TRUE,5,5,0,"Y","N",FALSE
"Albizia procera","Albizia procera",TRUE,FALSE,TRUE,5,5,0,"Y","N",TRUE
"Albizia schimperiana","Albizia schimperiana",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Albizia versicolor","Albizia versicolor",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Aldina latifolia","Aldina latifolia",TRUE,FALSE,FALSE,2,0,2,"N","Y",TRUE
"Alhagi maurorum","Alhagi maurorum",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Alhagi sparsifolia","Alhagi sparsifolia",TRUE,FALSE,FALSE,2,1,0,"Y","N",TRUE
"Alysicarpus glumaceus","Alysicarpus glumaceus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Alysicarpus monilifer","Alysicarpus monilifer",TRUE,FALSE,FALSE,5,5,0,"Y","N",TRUE
"Alysicarpus rugosus","Alysicarpus rugosus",TRUE,FALSE,FALSE,3,2,0,"Y","N",TRUE
"Alysicarpus vaginalis","Alysicarpus vaginalis",TRUE,FALSE,FALSE,9,9,0,"Y","N",TRUE
"Amburana cearensis","Amburana cearensis",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Ammopiptanthus mongolicus","Ammopiptanthus mongolicus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Amorpha canescens","Amorpha canescens",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Amorpha fruticosa","Amorpha fruticosa",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Amorpha fruticosa","Amorpha herbacea",TRUE,FALSE,FALSE,2,2,0,"Y","N",FALSE
"Amphicarpaea bracteata","Amphicarpaea bracteata",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Anadenanthera colubrina","Anadenanthera colubrina",TRUE,FALSE,TRUE,3,3,0,"Y","N",TRUE
"Anadenanthera peregrina","Anadenanthera peregrina",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Andira coriacea","Andira coriacea",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Andira inermis","Andira inermis",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Anthyllis cytisoides","Anthyllis cytisoides",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Anthyllis vulneraria","Anthyllis vulneraria",TRUE,FALSE,FALSE,9,6,0,"Y","N",TRUE
"Apuleia leiocarpa","Apuleia leiocarpa",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Arachis hypogaea","Arachis hypogaea",TRUE,FALSE,FALSE,12,12,0,"Y","N",TRUE
"Archidendron lucidum","Archidendron lucidum",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Aspalathus albens","Aspalathus albens",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Aspalathus cordata","Aspalathus cordata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Aspalathus divaricata","Aspalathus divaricata",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Aspalathus flexuosa","Aspalathus flexuosa",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Aspalathus linearis","Aspalathus linearis",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Aspalathus spinescens","Aspalathus spinescens",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Aspalathus ternata","Aspalathus nivea",TRUE,FALSE,FALSE,1,1,0,"Y","N",FALSE
"Aspalathus ternata","Aspalathus ternata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Astragalus adsurgens","Astragalus adsurgens",TRUE,FALSE,FALSE,2,1,0,"Y","N",TRUE
"Astragalus alopecias","Astragalus alopecias",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Astragalus alpinus","Astragalus alpinus",TRUE,FALSE,FALSE,7,1,0,"Y","N",TRUE
"Astragalus bisulcatus","Astragalus bisulcatus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Astragalus chlorostachys","Astragalus chlorostachys",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Astragalus crassicarpus","Astragalus crassicarpus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Astragalus danicus","Astragalus danicus",TRUE,FALSE,FALSE,3,2,0,"Y","N",TRUE
"Astragalus danicus","Astragalus hypoglottis",TRUE,FALSE,FALSE,3,2,0,"Y","N",FALSE
"Astragalus drummondii","Astragalus drummondii",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Astragalus filicaulis","Astragalus filicaulis",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Astragalus frigidus","Astragalus frigidus",TRUE,FALSE,FALSE,2,0,0,"N","N",TRUE
"Astragalus gambelianus","Astragalus gambelianus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Astragalus graveolens","Astragalus graveolens",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Astragalus graveolens","Astragalus stipulatus",TRUE,FALSE,FALSE,1,1,0,"Y","N",FALSE
"Astragalus kentrophyta","Astragalus kentrophyta",TRUE,FALSE,FALSE,2,1,0,"Y","N",TRUE
"Astragalus lehmannianus","Astragalus lehmannianus",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Astragalus monspessulanus","Astragalus monspessulanus",TRUE,FALSE,FALSE,4,3,0,"Y","N",TRUE
"Astragalus onobrychis","Astragalus onobrychis",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Astragalus onobrychis","Astragalus trichocarpus",TRUE,FALSE,FALSE,2,2,0,"Y","N",FALSE
"Astragalus oxyglottis","Astragalus oxyglottis",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Astragalus pectinatus","Astragalus pectinatus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Astragalus purshii","Astragalus purshii",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Astragalus scaberrimus","Astragalus scaberrimus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Astragalus sinicus","Astragalus sinicus",TRUE,FALSE,FALSE,6,6,0,"Y","N",TRUE
"Astragalus tribuloides","Astragalus tribuloides",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Astragalus umbellatus","Astragalus umbellatus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Baikiaea insignis","Baikiaea insignis",TRUE,FALSE,FALSE,2,1,1,"Y","Y",TRUE
"Baikiaea plurijuga","Baikiaea plurijuga",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Baphia laurifolia","Baphia laurifolia",TRUE,FALSE,FALSE,2,2,2,"Y","Y",TRUE
"Baptisia alba","Baptisia alba",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Bauhinia acuminata","Bauhinia acuminata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Bauhinia diphylla","Bauhinia diphylla",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Bauhinia forficata","Bauhinia forficata",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Bauhinia galpinii","Bauhinia galpinii",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Bauhinia guianensis","Bauhinia guianensis",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Bauhinia malabarica","Bauhinia malabarica",TRUE,FALSE,FALSE,2,0,2,"N","Y",TRUE
"Bauhinia ornata","Bauhinia ornata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Bauhinia petersiana","Bauhinia petersiana",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Bauhinia pulchella","Bauhinia pulchella",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Bauhinia racemosa","Bauhinia racemosa",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Bauhinia rufa","Bauhinia rufa",TRUE,FALSE,TRUE,2,1,1,"Y","Y",TRUE
"Bauhinia tomentosa","Bauhinia binata",TRUE,FALSE,FALSE,1,0,0,"N","N",FALSE
"Bauhinia tomentosa","Bauhinia tomentosa",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Bauhinia variegata","Bauhinia variegata",TRUE,FALSE,FALSE,4,3,0,"Y","N",TRUE
"Berlinia bracteosa","Berlinia bracteosa",TRUE,FALSE,FALSE,3,0,3,"N","Y",TRUE
"Berlinia craibiana","Berlinia craibiana",TRUE,FALSE,FALSE,2,0,2,"N","Y",TRUE
"Bossiaea aquifolium","Bossiaea aquifolium",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Bossiaea bossiaeoides","Bossiaea bossiaeoides",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Bossiaea eriocarpa","Bossiaea eriocarpa",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Bossiaea ornata","Bossiaea ornata",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Bossiaea prostrata","Bossiaea prostrata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Brachystegia boehmii","Brachystegia boehmii",TRUE,FALSE,FALSE,5,0,5,"N","Y",TRUE
"Brachystegia bussei","Brachystegia bussei",TRUE,FALSE,FALSE,3,0,3,"N","Y",TRUE
"Brachystegia cynometroides","Brachystegia cynometroides",TRUE,FALSE,FALSE,1,0,1,"N","Y",TRUE
"Brachystegia floribunda","Brachystegia floribunda",TRUE,FALSE,FALSE,2,0,2,"N","Y",TRUE
"Brachystegia laurentii","Brachystegia laurentii",TRUE,FALSE,FALSE,2,0,2,"N","Y",TRUE
"Brachystegia microphylla","Brachystegia microphylla",TRUE,FALSE,FALSE,4,0,4,"N","Y",TRUE
"Brachystegia utilis","Brachystegia utilis",TRUE,FALSE,FALSE,2,0,2,"N","Y",TRUE
"Brownea ariza","Brownea ariza",TRUE,FALSE,TRUE,1,0,0,"N","N",TRUE
"Butea monosperma","Butea monosperma",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Caesalpinia bonduc","Caesalpinia bonduc",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Caesalpinia crista","Caesalpinia crista",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Caesalpinia decapetala","Caesalpinia decapetala",TRUE,FALSE,FALSE,2,2,1,"Y","Y",TRUE
"Caesalpinia echinata","Caesalpinia echinata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Caesalpinia eriostachys","Caesalpinia eriostachys",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Caesalpinia ferrea","Caesalpinia ferrea",TRUE,FALSE,TRUE,4,4,0,"Y","N",TRUE
"Caesalpinia gilliesii","Caesalpinia gilliesii",TRUE,FALSE,TRUE,5,5,0,"Y","N",TRUE
"Cajanus acutifolius","Cajanus acutifolius",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Cajanus cajan","Cajanus cajan",TRUE,FALSE,FALSE,13,13,0,"Y","N",TRUE
"Cajanus scarabaeoides","Cajanus scarabaeoides",TRUE,FALSE,FALSE,8,8,0,"Y","N",TRUE
"Calliandra brevipes","Calliandra brevipes",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Calliandra eriophylla","Calliandra eriophylla",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Calliandra erubescens","Calliandra erubescens",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Calliandra haematocephala","Calliandra haematocephala",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Calliandra parvifolia","Calliandra parvifolia",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Calopogonium caeruleum","Calopogonium caeruleum",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Calpocalyx dinklagei","Calpocalyx dinklagei",TRUE,FALSE,FALSE,3,2,1,"Y","Y",TRUE
"Campsiandra comosa","Campsiandra comosa",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Canavalia cathartica","Canavalia cathartica",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Canavalia gladiata","Canavalia gladiata",TRUE,FALSE,TRUE,2,2,0,"Y","N",TRUE
"Canavalia lineata","Canavalia lineata",TRUE,FALSE,TRUE,3,3,0,"Y","N",TRUE
"Canavalia rosea","Canavalia rosea",TRUE,FALSE,TRUE,3,3,0,"Y","N",TRUE
"Caragana arborescens","Caragana arborescens",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Caragana arborescens","Caragana fruticosa",TRUE,FALSE,FALSE,4,4,0,"Y","N",FALSE
"Caragana korshinskii","Caragana korshinskii",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Caragana sinica","Caragana sinica",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Caragana turkestanica","Caragana turkestanica",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Carmichaelia petriei","Carmichaelia petriei",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Carmichaelia petriei","Carmichaelia virgata",TRUE,FALSE,FALSE,1,1,0,"Y","N",FALSE
"Cassia fistula","Cassia fistula",TRUE,FALSE,FALSE,11,9,2,"Y","Y",TRUE
"Cassia grandis","Cassia grandis",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Cassia roxburghii","Cassia roxburghii",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Castanospermum australe","Castanospermum australe",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Cedrelinga cateniformis","Cedrelinga cateniformis",TRUE,FALSE,FALSE,4,4,1,"Y","Y",TRUE
"Centrolobium robustum","Centrolobium robustum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Centrolobium tomentosum","Centrolobium tomentosum",TRUE,FALSE,FALSE,5,5,0,"Y","N",TRUE
"Centrosema brasilianum","Centrosema brasilianum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Centrosema pascuorum","Centrosema pascuorum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Centrosema pubescens","Centrosema pubescens",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Centrosema venosum","Centrosema venosum",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Ceratonia siliqua","Ceratonia siliqua",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Cercis canadensis","Cercis canadensis",TRUE,FALSE,FALSE,1,0,1,"N","Y",TRUE
"Cercis siliquastrum","Cercis siliquastrum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Chamaecrista absus","Chamaecrista absus",TRUE,FALSE,FALSE,5,5,0,"Y","N",TRUE
"Chamaecrista apoucouita","Chamaecrista apoucouita",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Chamaecrista chamaecristoides","Chamaecrista chamaecristoides",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Chamaecrista desvauxii","Chamaecrista desvauxii",TRUE,FALSE,TRUE,2,2,0,"Y","N",TRUE
"Chamaecrista nictitans","Chamaecrista nictitans",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Chamaecrista nomame","Chamaecrista nomame",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Chamaecrista pumila","Chamaecrista pumila",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Chamaecrista ramosa","Chamaecrista ramosa",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Chamaecrista rotundifolia","Chamaecrista rotundifolia",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Chorizema cordatum","Chorizema cordatum",TRUE,FALSE,FALSE,1,0,1,"N","Y",TRUE
"Chorizema diversifolium","Chorizema diversifolium",TRUE,FALSE,FALSE,1,0,1,"N","Y",TRUE
"Cicer arietinum","Cicer arietinum",TRUE,FALSE,FALSE,6,6,0,"Y","N",TRUE
"Cladrastis sikokiana","Cladrastis sikokiana",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Clathrotropis macrocarpa","Clathrotropis macrocarpa",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Clitoria amazonum","Clitoria amazonum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Clitoria fairchildiana","Clitoria fairchildiana",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Clitoria ternatea","Clitoria ternatea",TRUE,FALSE,FALSE,9,9,0,"Y","N",TRUE
"Codariocalyx motorius","Codariocalyx motorius",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Colvillea racemosa","Colvillea racemosa",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Copaifera langsdorffii","Copaifera langsdorffii",TRUE,FALSE,FALSE,5,5,0,"Y","N",TRUE
"Copaifera officinalis","Copaifera officinalis",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Coronilla scorpioides","Coronilla scorpioides",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Coronilla scorpioides","Ornithopus compressus",TRUE,FALSE,FALSE,1,1,0,"Y","N",FALSE
"Crotalaria albida","Crotalaria albida",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Crotalaria angulata","Crotalaria angulata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Crotalaria assamica","Crotalaria assamica",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Crotalaria brevis","Crotalaria brevis",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Crotalaria burhia","Crotalaria burhia",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Crotalaria incana","Crotalaria incana",TRUE,FALSE,TRUE,2,2,0,"Y","N",TRUE
"Crotalaria juncea","Crotalaria juncea",TRUE,FALSE,FALSE,6,5,0,"Y","N",TRUE
"Crotalaria laburnifolia","Crotalaria laburnifolia",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Crotalaria linifolia","Crotalaria linifolia",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Crotalaria linifolia","Crotalaria pallida",TRUE,FALSE,FALSE,1,1,0,"Y","N",FALSE
"Crotalaria linifolia","Crotalaria pumila",TRUE,FALSE,FALSE,1,1,0,"Y","N",FALSE
"Crotalaria medicaginea","Crotalaria medicaginea",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Crotalaria mysorensis","Crotalaria mysorensis",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Crotalaria nana","Crotalaria nana",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Crotalaria ochroleuca","Crotalaria ochroleuca",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Crotalaria pallida","Crotalaria pallida",TRUE,FALSE,TRUE,2,2,0,"Y","N",TRUE
"Crotalaria prostrata","Crotalaria prostrata",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Crotalaria quinquefolia","Crotalaria anisophylla",TRUE,FALSE,FALSE,4,4,0,"Y","N",FALSE
"Crotalaria quinquefolia","Crotalaria quinquefolia",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Crotalaria retusa","Crotalaria retusa",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Crotalaria trichotoma","Crotalaria trichotoma",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Crotalaria verrucosa","Crotalaria verrucosa",TRUE,FALSE,FALSE,6,6,0,"Y","N",TRUE
"Crudia aromatica","Crudia aromatica",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Cullen corylifolium","Cullen corylifolium",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Cyamopsis tetragonoloba","Cyamopsis psoraloides",TRUE,FALSE,FALSE,1,0,0,"N","N",FALSE
"Cyamopsis tetragonoloba","Cyamopsis tetragonoloba",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Cylicodiscus gabunensis","Cylicodiscus gabunensis",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Cynometra hankei","Cynometra hankei",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Cytisus austriacus","Cytisus austriacus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Cytisus purpureus","Cytisus purpureus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Cytisus scoparius","Cytisus scoparius",TRUE,FALSE,FALSE,4,3,0,"Y","N",TRUE
"Dalbergia assamica","Dalbergia assamica",TRUE,FALSE,FALSE,3,1,2,"Y","Y",TRUE
"Dalbergia assamica","Dalbergia balansae",TRUE,FALSE,FALSE,3,1,2,"Y","Y",FALSE
"Dalbergia horrida","Dalbergia horrida",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Dalbergia hupeana","Dalbergia hupeana",TRUE,FALSE,FALSE,2,2,1,"Y","Y",TRUE
"Dalbergia inundata","Dalbergia inundata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Dalbergia lanceolaria","Dalbergia lanceolaria",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Dalbergia latifolia","Dalbergia latifolia",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Dalbergia maritima","Dalbergia maritima",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Dalbergia melanoxylon","Dalbergia melanoxylon",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Dalbergia nigra","Dalbergia nigra",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Dalbergia nitidula","Dalbergia nitidula",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Dalbergia obtusifolia","Dalbergia obtusifolia",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Dalbergia oliveri","Dalbergia oliveri",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Dalbergia sissoo","Dalbergia sissoo",TRUE,FALSE,FALSE,15,15,0,"Y","N",TRUE
"Dalea candida","Dalea candida",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Daviesia cordata","Daviesia cordata",TRUE,FALSE,FALSE,3,0,0,"N","N",TRUE
"Daviesia corymbosa","Daviesia corymbosa",TRUE,FALSE,FALSE,2,1,1,"Y","Y",TRUE
"Daviesia decurrens","Daviesia decurrens",TRUE,FALSE,FALSE,2,0,0,"N","N",TRUE
"Daviesia leptophylla","Daviesia leptophylla",TRUE,FALSE,FALSE,1,0,1,"N","Y",TRUE
"Dendrolobium triangulare","Dendrolobium triangulare",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Derris scandens","Derris scandens",TRUE,FALSE,FALSE,2,1,0,"Y","N",TRUE
"Derris trifoliata","Derris trifoliata",TRUE,FALSE,FALSE,7,4,0,"Y","N",TRUE
"Desmanthus illinoensis","Desmanthus illinoensis",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Desmanthus virgatus","Desmanthus virgatus",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Desmodium brownii","Desmodium brownii",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Desmodium dichotomum","Desmodium dichotomum",TRUE,FALSE,FALSE,2,1,0,"Y","N",TRUE
"Desmodium elegans","Desmodium elegans",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Desmodium gangeticum","Desmodium gangeticum",TRUE,FALSE,FALSE,4,3,0,"Y","N",TRUE
"Desmodium heterocarpon","Desmodium heterocarpon",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Desmodium heterophyllum","Desmodium heterophyllum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Desmodium microphyllum","Desmodium microphyllum",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Desmodium multiflorum","Desmodium multiflorum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Desmodium paniculatum","Desmodium paniculatum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Desmodium renifolium","Desmodium renifolium",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Desmodium tortuosum","Desmodium tortuosum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Desmodium trichostachyum","Desmodium trichostachyum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Desmodium triflorum","Desmodium triflorum",TRUE,FALSE,FALSE,7,7,0,"Y","N",TRUE
"Desmodium zonatum","Desmodium zonatum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Dialium guianense","Dialium guianense",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Dialium pachyphyllum","Dialium pachyphyllum",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Dicerma biarticulatum","Dicerma biarticulatum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Dicorynia guianensis","Dicorynia guianensis",TRUE,FALSE,FALSE,5,5,0,"Y","N",TRUE
"Dicymbe altsonii","Dicymbe altsonii",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Didelotia africana","Didelotia africana",TRUE,FALSE,FALSE,5,1,5,"Y","Y",TRUE
"Dillwynia cinerascens","Dillwynia cinerascens",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Dillwynia floribunda","Dillwynia floribunda",TRUE,FALSE,FALSE,1,0,1,"N","Y",TRUE
"Dillwynia hispida","Dillwynia hispida",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Dillwynia juniperina","Dillwynia cinerascens",TRUE,FALSE,FALSE,1,0,1,"N","Y",FALSE
"Dillwynia juniperina","Dillwynia juniperina",TRUE,FALSE,FALSE,1,0,1,"N","Y",TRUE
"Dillwynia retorta","Dillwynia retorta",TRUE,FALSE,FALSE,2,1,1,"Y","Y",TRUE
"Dimorphandra mollis","Dimorphandra mollis",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
