"Phy","species","RangeY","domY","efnY","n","sum.AM","sum.EM","AM","EM","match"
"Stylosanthes capitata","Stylosanthes bahiensis",TRUE,FALSE,FALSE,1,1,0,"Y","N",FALSE
"Stylosanthes capitata","Stylosanthes capitata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Stylosanthes fruticosa","Stylosanthes fruticosa",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Stylosanthes guianensis","Stylosanthes guianensis",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Stylosanthes hamata","Stylosanthes hamata",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Stylosanthes hamata","Stylosanthes humilis",TRUE,FALSE,FALSE,2,2,0,"Y","N",FALSE
"Stylosanthes humilis","Stylosanthes humilis",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Stylosanthes subsericea","Stylosanthes subsericea",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Styphnolobium japonicum","Anagyris foetida",TRUE,FALSE,FALSE,1,1,0,"Y","N",FALSE
"Styphnolobium japonicum","Styphnolobium japonicum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Swainsona phacoides","Swainsona phacoides",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Swartzia jenmanii","Swartzia jenmanii",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Swartzia laevicarpa","Swartzia laevicarpa",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Swartzia langsdorffii","Swartzia langsdorffii",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Swartzia polyphylla","Swartzia polyphylla",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Tachigali paniculata","Tachigali paniculata",TRUE,TRUE,FALSE,1,1,0,"Y","N",TRUE
"Tachigali paniculata","Tachigali rusbyi",TRUE,TRUE,FALSE,1,1,0,"Y","N",FALSE
"Tadehagi triquetrum","Tadehagi triquetrum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Tamarindus indica","Tamarindus indica",TRUE,FALSE,FALSE,15,13,0,"Y","N",TRUE
"Tephrosia hookeriana","Tephrosia hookeriana",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Tephrosia pumila","Tephrosia pumila",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Tephrosia purpurea","Tephrosia purpurea",TRUE,FALSE,FALSE,15,14,0,"Y","N",TRUE
"Tephrosia remotiflora","Tephrosia remotiflora",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Tephrosia sphaerospora","Tephrosia sphaerospora",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Tephrosia villosa","Tephrosia villosa",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Tephrosia virginiana","Tephrosia virginiana",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Teramnus labialis","Teramnus labialis",TRUE,FALSE,FALSE,3,2,0,"Y","N",TRUE
"Tetraberlinia bifoliolata","Tetraberlinia bifoliolata",TRUE,FALSE,FALSE,5,1,5,"Y","Y",TRUE
"Tetraberlinia moreliana","Tetraberlinia moreliana",TRUE,FALSE,FALSE,3,0,3,"N","Y",TRUE
"Thermopsis lanceolata","Thermopsis lanceolata",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Thermopsis lanceolata","Thermopsis lupinoides",TRUE,FALSE,FALSE,4,4,0,"Y","N",FALSE
