"","Phy","Stratum"
"100","Cardiocondyla_mauritanica","Epigaeic"
"101","Cardiocondyla_minutior","Epigaeic"
"102","Cardiocondyla_nigra","Epigaeic"
"103","Cardiocondyla_nuda","Epigaeic"
"104","Cardiocondyla_obscurior","Epigaeic"
"105","Cardiocondyla_strigifrons","Epigaeic"
"106","Cardiocondyla_tjibodana","Epigaeic"
"107","Cardiocondyla_venustula","Epigaeic"
"108","Cardiocondyla_wroughtonii","Epigaeic"
"109","Carebara_affinis","Epigaeic & Hypogaeic"
"110","Carebara_diversa","Epigaeic & Hypogaeic"
"111","Cataglyphis_nodus","Epigaeic"
"112","Cephalotes_curvistriatus","Arboreal"
"113","Cephalotes_pusillus","Arboreal"
"114","Chelaner_antarcticus","Epigaeic"
"115","Colobopsis_mississippiensis","Arboreal"
"116","Colobopsis_truncata","Arboreal"
"117","Crematogaster_algirica","Arboreal & Epigaeic"
"118","Crematogaster_ashmeadi","Arboreal & Epigaeic"
"119","Crematogaster_bicolor","Arboreal & Epigaeic"
"120","Crematogaster_carinata","Arboreal & Epigaeic"
"121","Crematogaster_coarctata","Arboreal & Epigaeic"
"122","Crematogaster_crinosa","Arboreal & Epigaeic"
"123","Crematogaster_curvispinosa","Arboreal & Epigaeic"
"124","Crematogaster_egidyi","Arboreal & Epigaeic"
"125","Crematogaster_inermis","Arboreal & Epigaeic"
"126","Crematogaster_irritabilis","Arboreal & Epigaeic"
"127","Crematogaster_lineolata","Arboreal & Epigaeic"
"128","Crematogaster_nawai","Arboreal & Epigaeic"
"129","Crematogaster_obscurata","Arboreal & Epigaeic"
"130","Crematogaster_rochai","Arboreal & Epigaeic"
"131","Crematogaster_rogenhoferi","Arboreal & Epigaeic"
"132","Crematogaster_scutellaris","Arboreal & Epigaeic"
"133","Crematogaster_sordidula","Arboreal & Epigaeic"
"134","Crematogaster_steinheili","Arboreal & Epigaeic"
"135","Crematogaster_subdentata","Arboreal & Epigaeic"
"136","Crematogaster_teranishii","Arboreal & Epigaeic"
